stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,28.99,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53,0,0,9.89,0,0,0,0,0,0,0
 14-21,0,0,0,6.46,0,0,0,0,0,0,0,0,0,3.1,0,0,1.56,0,0,1.19,1.44,0,0,0
 24-34,0,1.71,0,232.22,0,0,0,0,0,2.23,0,0,1.51,25.57,0.69,0,0,1.47,0,0,5.65,0.69,0,0
 36-46,0,0,0,408.6,0,0.66,0,0,0,5.16,0.65,0,0.65,20.41,0,0,0,1.27,0.58,0,3.94,0,0,0
 48-58,0,0,0,278.89,2.85,0,0,0,2.79,1.31,0,0,1.44,18.54,0,0,0,1.86,0,0,6.25,0,0,0
 60-70,0,1.33,0,302.76,0,0,0,0,0,6.12,0,0,0,7.89,0,0,0,0,0,0,10.61,0,0,0
 72-82,0,0,3.96,221.2,0.68,0,0,5.86,0,2.73,0,0,0,13.02,0,0,0,0,0,0,0.54,1.3,0.71,0
 84-94,0,0.87,0,216.76,1.02,0,0,0,0,2.35,0,0,0,34.47,0,0,0,0,0,0,0,0,0,0
 96-106,0,0.72,0,120.35,0.72,0,0,5.19,0,4,0,0,0,11.74,0,0.59,0,8.48,0,0,0,0,0,1.22
108-118,0,0.56,0,226.44,0,0.8,0.58,0.78,0,9.87,0,1.96,0,36.63,0,0,0,0,0,0,0,0,0,0
120,0,0,0,129.74,0,0,1.81,0,0,0,0,13.66,0,32.72,0,0,0,0,0,0,10.98,0,0,0
