stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,hatching.gland,immune,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord
  3-4,67.68,2746.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.35,0,0,0
  5-6,97.55,1484.95,0,0,0,0,0,16.22,0,0,0,0,0,8.03,0,0,0,49.72,0,0,0
  7-9,12.68,11.82,0,9.52,0,9.72,0,8.67,0,0,0,0,0,205.3,0,0,39.97,0,5.5,0,0
 10-12,0,0,0,0,0,4.33,0,0,0,0,0,0,0,36.41,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.03,0,0,0,0,0,0,2.08,2.3,0,0,0,0,0,0,1.04
 24-34,0,0,0,0,0.61,0,0,0,0,0,0,0,0,8.49,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.56,0,4.17,0,0,0,0,0.91,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.98,0,0.64,0,2.06,1.22,0,0,0,0,0.61,0
 60-70,0,0,0,0,0,2.66,0.58,0,2.7,3.21,0,3.81,0,2.56,0,2.43,0,0,0,0,2.15
 72-82,0,0,1.14,0,0.54,0,0.68,0,0,7.84,0,0.96,0,10.75,0,4.82,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,4.96,0,0,0,2.94,0,6.06,0,0,0,0,0
 96-106,0,0,0,0,0,0.87,0,0,0,11.45,0,0.9,0,6.8,0,3.44,0,0,0,0,0
108-118,0,0,0,0.74,0,2.51,0.46,0,0,10.09,2.22,0,0,3.61,0,2.94,0,0,1.33,0,0
120,0,0,0,0,0,2.69,18.76,0,10.24,15.63,0,2.3,0,0,0,0,0,0,0,0,0
