stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  5-6,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0
  7-9,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0
 10-12,0,5.14,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,0,0,0,4.49,0,0,0,0,0
 14-21,0,0,1.92,144.04,0,0,0,0,0,26.52,0,377.39,216.02,0,4.11,313.05,0.83,0,0,0.97,9.24,10.05,125.56,0,37.49
 24-34,0,0,0,25.56,0,0,0,0,0,0.63,0,83.33,21.29,0,0,78.15,0,0,0,1.87,0,0,5.85,0,43.87
 36-46,0,0,7.69,1.62,0,0,0,0,0,1.97,0,69.45,13.5,0,0,38.41,0,0,0,17.09,0,0,0,0,6.98
 48-58,0,0,0,0,0,0,0,0,0,0.41,0,17.17,0,0,0,10.16,0,0,0,2.43,0,0,0,0,0
 60-70,0,0,1.37,0,0,0,0,0,0,0,0,14.86,1.94,1.09,0,0,0,0,0,20.73,0,0,1.64,0.79,0
 72-82,0,0,0.72,0,0,0.89,0,0,0,4.35,0.91,0,2.56,0,0,10.02,0,0,0,13.93,0,0,0,0,0
 84-94,0,0,0.74,0,0,0,0,0,0,0.64,0,13.01,0.83,0,0,0,0,0,0,16.01,0,0,0,0,0
 96-106,0,0,0,0.82,1.1,1.69,0,0.62,0,25.55,0,0,0,0,0,1.14,0,1.27,0,40.86,0,0,0,0,0
108-118,0,0,2.18,1.89,2.74,0,1.9,0.65,0.52,2.57,0,0,0.61,0,0,0,0,0,0,44.9,0,0,0,0,0
120,0,0,37,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.25,0,0,0,0,0
