stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,xanthophores
  3-4,41.82,1848.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.76,0,0,0,0,0,0
  5-6,73.14,559.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,6.57,0,0,0,0,0,0
  7-9,0,10.02,0,39.75,0,0,0,0,0,0,0,25.9,0,0,0,0,0,0,0,0,76.5,3.67,0,0,4.4,0,0,0,0,0,0,0
 10-12,0,0,0,15.52,0,0,5.55,0,0,0,0,48.93,0,0,0,0,0,0,0,0,161,0,0,0,15.83,6.67,17.5,4.78,0,0,0,0
 14-21,0,0,1.38,7.47,42.58,0,0,0,0,0,2.18,3.74,0,0,2.98,0,0,3.27,0.95,0.86,2.19,0,0,6.79,0,0,0,2.78,0,0.87,0,0
 24-34,0,0,0,0.84,19.32,0,0,0,0,1.51,0,2.67,0,0.6,11.01,1.61,0,0.83,21.96,0,13.47,0,2.81,8.6,0,0,0,0.88,1.16,0.81,0,0
 36-46,0,0,0,0,4.75,0,1.65,0,0,0,0.56,15.86,0.71,0,5.99,1.24,0,0,13.83,0,32.25,0,9.38,1.55,0,1.82,0,3.72,0,1.43,0,0
 48-58,0,0,0,0.43,6.56,0,1.34,0,0.4,0,0.56,29.98,0,1.36,8.5,1.69,0,0,12.05,0,7.97,0,2.53,2.79,0,0,0,0,0,0.44,0,0
 60-70,0,0,0.65,0,8.24,0,0,2.69,0,0,0.62,11.32,0,0.99,1.39,1.9,0,0,17.35,0,5.53,0,0,9.64,0,0,0,0,0,0,0,0
 72-82,0,0,1.57,0,2.82,0,5.94,0,0,0,10.1,7.84,0,0,6.84,0,2.82,1.97,29.1,0,3.35,0,3.92,8.7,0,0,0,0.76,0,0,0.74,0
 84-94,0,0,2.39,0,9.35,0,2.51,1.19,0,0.73,6.89,11.33,0,0.64,5.71,4.38,6.31,2.38,31.03,0,1.12,0,0.6,25.89,0,0,0,3.06,0,0,2.03,0
 96-106,0,0,6.92,0,4.64,0,0,0,0,0,21.97,7.14,0,1.25,3.47,1.59,0,1.82,51.24,0,12.72,0,2.56,17.78,0,0,0,0,0,0,3.53,0
108-118,0,0,0,0,10.2,1.01,12.95,0.42,0,0,44.19,2.74,0,3.65,2.85,0.96,0,0,47.39,0.47,1.53,0,3.33,19.45,0,0.51,0,3.19,0,0,1.55,0.73
120,0,0,1.22,0,9.89,0,0,0,0,9.04,20.15,0,0,3.46,14.64,4.67,4.74,5.82,49.9,1.57,17.84,0,6.45,13.28,0,0,0,1.21,0,0,4.05,0
