stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching.gland,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,29.29,712.74,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0
  5-6,18.62,354.38,0,0,0,0,0,0,0,0,0,0,21.45,17.69,0,0,0,0,0
  7-9,9.12,19.95,14.13,0,0,22.78,3.27,0,0,0,156.83,0,42.96,0,0,0,0,0,0
 10-12,0,0,11.62,0,0,0,4.29,0,0,0,85.48,0,15.11,0,5.95,0,12,0,0
 14-21,0,0,0,7.17,0.91,5.58,0,1.46,3.44,1.38,15.28,0.99,0.82,4.37,0,4.54,0,3.36,3.86
 24-34,0,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0,0,0,0,0.7
 36-46,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.71,0,5.97,0,0,0,0,0.51
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0
