stage,blastomeres,epidermis,erythrocytes,eye,gut,liver,mesenchyme,muscle,neural,olfactory,pericytes,periderm,pronephros,vasculature
  5-6,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,5.65,0,0,1.11,1.04,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0.58
 48-58,0,0,0,0,0,1.77,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.83,0,0,2.53,0,0,0,0,0
 72-82,0,0,0,0,0,13.12,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,33.18,0,0,2.95,0,0,0,1.4,0
 96-106,0,1.08,0.95,0,1.62,46.05,1.83,1.42,15.09,0,0,5.11,0,0
108-118,0,0,0,1.12,0.66,178.32,2.9,0,17.86,0,1.58,0.59,0.59,0
120,0,0,0,5.16,0,151.64,2.07,0,10.65,0,0,0,3.48,0
