stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0,5.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,0,0,0,4.99,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.14,0.88,3.69,2.62,0.81,0,0,0,0,0,0,2.15,0,0,0,0,7.56,0,1.85,22.99,0,0,0,0,0,1.18,0,0.8,36.75,0,0,0,0,0
 24-34,0,1.05,0,1.73,0,3.23,0,0,0,0,0,0,18.08,0,0,0,0,3.99,0,1.12,171.29,0,6.03,0.88,0,1.88,0,0,0.6,63.9,0,0,0,0,0
 36-46,0,0.95,0,20.18,0,27.37,0,0,0,2.73,0,0,2.38,0,0,0,0,0,0,0.78,376.32,0,0.91,0,0,0,0,0,0,95,0,0,0.92,0,0
 48-58,0,0,0,3.61,0,158.5,0,0,0,5.89,0,0.48,2.47,0,0,0,0.74,6.17,1.2,1.11,778.43,0,1.92,0.74,0,1,0,0,0,117.09,0,0,3.76,0,1.04
 60-70,0,0.89,0,2.73,0,823.86,0,2.67,0,2.82,0,1.92,5.44,0,1.57,0,0,15.2,0,0,1077.98,0,0,7.86,0,3.74,0,0,0,110.92,0,0,0.71,1.25,0.69
 72-82,0,0,0,1.58,0,761.88,0.58,0,1.73,21.21,0,0,1.5,0,0,1.08,0,8.47,4.84,0.68,870.34,0,1.27,0,0,0,0,0,0,102.53,3.84,0,0.71,0,0
 84-94,0,0,0,8.99,1.9,526.07,0,9.46,0,17.05,0.59,0.7,20.25,0,0,0,0,6.88,1.8,4.74,597.28,0.65,4.81,0.74,0,1.91,0,0.76,0,86.24,0,0,0,0,0
 96-106,0,0,0,16.3,1.2,604.62,0,3.86,0,18.5,1.93,0.64,8.93,0,0,0,0,19.09,0,0,587.63,0,4.6,1.2,0,3.21,0,0,0,23.05,0,0.79,0.87,1.43,12.73
108-118,0,4.9,0,14.65,0,443.17,0.98,0,1.02,7.59,0.43,2.59,8.8,1.01,5.31,0,0,21.57,1.69,1.05,662.06,0,2.48,0.9,0,0.86,0,0,0,21.39,0,0,0,0.72,0
120,0,0,0,4.57,0,334.04,2.27,2.34,0,41.82,0,7.63,6.71,0,0,0,0,31.82,28.62,3.62,1076.02,0,0,13.55,0,8.18,0,0,0,15.95,0,0,0,0,0
