stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,111.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,64.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.16,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65,0,0,0,6.02,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.28,0,1.37,1.04,0,0,0,0,9.89,0,0,0,0,0
 24-34,0,0,0,0,0,2.59,0,0,0,0,0,0,0,1.01,0,0,0,205.16,0,5.59,0,0,0,0,0,51.75,0,0,7.59,0,0
 36-46,0,0,0,1.07,0,31.88,0,3.75,0,0,0,0,0,1.52,0,0,0,571.16,0,4.68,0,0,0,0,0,108.21,0,0,0,0,0
 48-58,0,0,0,0.47,0,107.46,0,13.49,0,0.55,0,0,1.38,4.5,0.56,0.75,0,773.54,0,1.96,0.39,0,0,4.74,0,138.18,0,0,0.53,0,1.28
 60-70,0,0,0,3.16,0,316.18,0,4.45,0,0,0,0,0,8.92,0,0,0,1046.55,0,1.17,0,0,0,1.65,0,160.95,0,0,0,0,0
 72-82,0,0,0,0.71,0,374.67,0.55,9.22,0,0,0,0,0,4.94,0,0,0.94,779.32,0,3.68,5.83,0,0.71,0,0,71.09,0,0,2.23,0,0
 84-94,0,6.48,0,1.61,0,358.17,0.91,12.4,0,0,0.82,5.39,0,12.8,0,0,0,677.06,0,1.95,1.09,0,0,0.76,0,59.76,0,0,0,0,0
 96-106,0,0,0,3.38,14.88,379.82,1.54,9.77,0,3.13,0,9.55,0,12.19,0,0,1.18,524.01,0,7.66,0,0,0,9.25,0,27.06,0,0,1.82,0.96,0
108-118,0,0,0,10.06,0,370.6,2.99,15.94,1.01,0,0,0,0,9.6,0,0,0,707.93,0,2.72,0,0,0,0,0,18.92,2.52,0,0.99,2.41,0
120,0,0,0,0,0,282.22,0,77.13,8.14,0,0,0,0,16.82,0,0,1.12,930.04,2.7,2,19.37,0,0,2.35,3.15,64.02,0,8.19,8.01,0,0
