stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,66.14,322.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.57,0,0,0,0,0
  5-6,38.41,280.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.51,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.02,0,0,0,0,0,0,0,0,0.84,0,1.56,3.58,0,0,0,0,0,2.56,1.84,0,0
 24-34,0,0,0,1.01,0.69,0,0,0,0.61,0,0,0,0,0,0,20.53,0,0,0,2.33,0,0,3.83,0,0
 36-46,0,0,0,0,2.45,0.79,0,0.64,0,1.84,0,0,2.35,0,0,39.09,0,0,0,5.7,0,0,14.03,1.01,0
 48-58,0,0,0,0.85,3.46,0,0,2.83,0,0,0,0,2.8,0,1.82,28.64,0,0,0,5.36,0,0,3.82,2.18,0
 60-70,0,0,0,0.97,17.13,0,0,1.19,0,0,0,0,13.68,0,0.8,30.21,0,0.84,0,3.59,0,0,0,0,0
 72-82,0,0,0.68,1.49,4.45,0,1.19,0.52,0.51,0,0,0,2.72,0,1.22,31.69,0,0,0,3.08,0,0,10.75,0,0
 84-94,0,0,0,0.98,1.64,0,0,4.48,0,0,1.07,1.52,0,0,0,19.77,0,0,0,14.61,0,0,0,0,0
 96-106,0,0,0,1.1,1.94,0,0,0,0.98,0,0,0,0,0,0,4.87,0,0,0,8.51,0,0,6.09,1.56,2.62
108-118,0,0,0.6,3.07,6.06,1.3,0.48,4.09,0.45,0,0.67,0,0,3.82,0,10.02,0.85,0,0,14.03,0.42,0,2.82,0,0
120,0,0,0,2.08,0,0,0,0,0,0,0,0,14.68,0,0,58.35,0,0,1.29,1.41,0,0,0,0,0
