stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,0,0,0,0,0,0,0,0,0
  5-6,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,11.91,0,0,0,0,0,0,0,0,0,0,0,7.31,14.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,11.32,0,1.76,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,148.18,0,5.92,3.39,0,0,2.3,0,1.03,0,120.9,0,0,0,0,0
 24-34,0,14.74,0,16.38,0,13.88,0,0,0,0,0,0,0,0,0,0,0,0,3.16,0,0,0,771.72,0,28.98,0,0,0,0.76,0,0,0.63,333.48,0,0,0,0,0
 36-46,0,3.6,0,2.16,0,10.43,0,0,8.55,0,0,0,3.14,0,0,0,0,0,31.55,0,0,0,1813.55,0.57,73.08,0,0,0,0,0,0,0,338.55,0,0,0,0,1.94
 48-58,0,6.15,0,9.23,0,97.62,0,0,14.72,0,0,0,0.81,0,0,0.42,0,5.12,21.46,0.74,0,6.48,3644.08,4.6,39.52,0.66,0,0,6.38,0,0.41,0,483.83,0,0,0,0,1.24
 60-70,0,4.32,0,6.82,1.05,297.19,0,0,17.6,3.11,0,0,3.55,0,0,0,0,0,7.33,0,0,0,4344.33,0,60.01,0.83,0,0,0.68,0,0,0,792.41,0,0,8.02,0,7.58
 72-82,0,7.78,0,21.37,2.67,813.93,2.98,4.44,41.53,15.65,0,0,1.18,0,0.57,0,2.78,0,41.67,0,0,0.8,6713.68,0,74.39,1.98,0,0,7.11,0.68,0,0,730,4.21,0,9.01,0.93,14.68
 84-94,0,27.37,0,17.58,7.13,577.3,0,9.06,45.71,25.19,0,0,4.65,2.57,0.67,0,1.67,4.67,18.51,0,3.29,4.46,4204.43,0,55.92,9.88,0,0,3.99,0,0,0,448.82,2.9,2.89,7.71,1.26,0
 96-106,0,29.3,0,20.42,11.95,598.26,0,5.37,76.9,26.66,0,0,11.15,0,0,1.2,19.46,0,35.96,6.61,1.32,0.78,4035.94,1.15,102.37,7.17,0,0,13.78,1.24,0,0,286.93,3.16,0,0,1.94,11.19
108-118,0,20.5,1.41,46.13,1.77,652.76,2.85,3.96,67.56,21.98,0,0,25.27,1.09,0.46,0.45,3.13,0.66,59.63,0,6.83,2.87,5101.06,0.51,72.51,10.37,0,4.58,5.67,0.94,0,0,175.76,0,4.53,2.37,12.81,0
120,0,18.03,0,49.48,1.56,626.62,0,3.06,52.33,22.49,0,4.47,13.68,0,0,2.29,0,0,58.24,0,22.24,2.54,5260.01,0,59.42,3.93,0,3.68,1.65,2.39,0,0,130.93,0,0,0,1.8,0
