stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.77,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,3.04,0,0,0,0,12.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.69,0,0,0,0,0,0,0.9,0.92,0,0,1.35,41.71,0,0,0,0,0
 24-34,0,2.38,0,0.98,0,0,0,1.79,0,0,0,0,0,0,0,0,0.93,0,10.75,453.15,0,23.61,0,0,0,0,0,0,0,0,0,98.47,0,0,1.32,0,0
 36-46,0,0,0,18.28,0,0,0,5.88,0,0,0,0.63,0,0,0,0,4,0,0.98,510.28,0,33.71,2.33,0,0,0,0,0,0,0,0,126.59,0,0,0,0,0
 48-58,0,2.59,0,71.18,0,0,0,9.64,0,0.44,0.47,0,0,0,3.35,6.14,0.85,1.4,0,648.17,0,57.67,0,0,0,0,0,0,0,0,0,96.99,0,0.51,0,0,0
 60-70,0,0,0,294.43,0,0,0,8.86,0,0,0,0,0,0,0,0,16.44,0,1.78,624.36,0,69.54,0,0,0,0,0,0,0,0,0,69.51,0,0,0,0,0
 72-82,0,1.61,1.92,1080.7,0,0.57,0,39.62,0.7,0,0.59,0.83,8.35,0,0,0,11.59,0,0,767.2,0.55,105.65,1.38,0,0,0,0,0,0,0,0,54.82,0,0,0,0,0
 84-94,0,5.28,0,675.31,0,1.15,0.89,23.84,0.64,0,0,0,0,0,0,0,3.69,0,0,543.85,0,81.2,0,0,0,6.14,0,0,0,0,0,23.24,2.89,0.64,2.75,0,0
 96-106,0,5.41,10.11,1015.96,0,0.75,6.2,46.6,0.9,0,0.96,0.56,0,0,11.23,0,23.03,0,0,538.76,0,207.16,0.57,0,1.77,14.47,0,0,0,0,0,25.26,2.37,0,0,0,0
108-118,0,5.95,0.69,1043.6,5.31,1.36,0,35.57,1.43,3.6,1.02,0,0,0,0,0,29.3,0,1.79,503.75,0,137.3,0.66,0,0,2.55,0,0,0,0.57,0,10.76,0.5,0,2.27,0,2.33
120,0,3.92,0,484,0,2.32,0,85.33,1.34,0,0,7.01,0,3.39,0,0,26.26,0,0,814.31,0,175.38,1.66,0,0,0,0,0,7.18,0,0,14.64,0,0,1.67,5.18,0
