stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.32,5.63,0,0,0,0,0,0,0,2.01,0,0,1.71,0,0,0,1.83,1.09,0,44.99,30.54,35.24,3.47,0,0,368.56,1.8,7.79,8.25,1.15,898.67,2.87,0,0,0,0
 24-34,0,23.06,0,0,7.75,0,7.87,0,0,1.73,0,0,20.13,0,0,0,9.34,5.9,0,8.55,61.99,5.08,12.81,0,0,628.5,0,2.32,6.2,0,256.75,18.18,0,2.71,0,0
 36-46,0,63.54,0,0,5.4,1.26,5.54,0,0,1.31,0,0,13.71,0.65,0.57,12,8.55,26.54,0,3.36,36.38,5.37,4.26,0,0,790.32,0,0,2.74,0,1.26,5.74,0,0,0,0
 48-58,0,43.63,0,0,20.84,1.04,8.92,0,1.05,0.64,0,0,6.15,0.38,0.47,0,17.2,1.7,0,13.49,39.02,2.08,6.36,0,0,395.82,0,0,1.22,0,0,6.27,0,0,0,0
 60-70,0,101.2,0,0,15.72,2.65,14.1,0,15.78,3.88,0.97,0,1.16,0,0,0,19.58,5.88,0,21.26,16.21,0,1.43,0.62,0,407.56,0,0,0,0,0,1.42,0,0,0,0
 72-82,0.57,88.73,0,0,15.63,0,11.74,0,0,3.63,0.59,0,12.24,0,1.66,2.73,48,9.67,0,2.54,31.46,0,2.62,2.81,0,400,0,0,0.77,1.5,0,2.09,0,0,0,0
 84-94,2.62,181.82,0,0,11.84,0,21.07,0,2,22.9,0.66,0,14.69,0,0.65,1.17,28.4,10.11,0,4.01,24.5,0,4.81,0,0,1050.08,0,0,7.5,0,0,0,0.57,0,0,0
 96-106,2.11,130.26,12.69,0.94,32.74,2.96,23.41,0,6.84,12.56,0,0,17.64,0,2.42,3.53,30.71,21.08,2.17,14.2,55.17,0.59,4.71,0.65,0,1046.39,0,0,2.22,0,0,2.33,0,0,0.64,14.66
108-118,1.77,214.93,0,0.95,16.87,0.49,36.24,4.33,0,24.89,0,3.26,23.02,0,5.96,2.78,29.12,18.11,0,2.98,47.36,0,4.19,0.44,0,907.51,0,0,4.36,0,0,0,2.73,0,0,4.11
120,0,249.46,3.56,0,34.39,0,38.06,1.98,0,51.23,0,2.34,18.95,0,1.74,4.47,39.84,9.72,2.18,0,73.7,0,5.25,0,5.46,464.42,0,0,3.33,0,0,0,0,1.54,0,0
