stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,immune,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,slow.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0
 14-21,0,2.87,0,0,0,0,24.16,0,0,5.23,0,0,0,0,0
 24-34,0,0,0,0,3.01,0,76.5,5.6,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,69.44,0,3.31,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,122.71,0,3.34,0,0,0,0,1.61,0
 60-70,0.68,0,0,0,0,0,116.97,1.21,0.65,0,0.76,0,0,0,0
 72-82,0,0,0,0,0,0,128.75,0.66,3.87,0,0.76,0,0.54,0,0
 84-94,0,10.39,0,0,0,1.5,182.21,0.71,0,0,0,0,0,0,2.12
 96-106,0,0,0,12.15,0,0.67,287.25,0,2.7,0,0,0,0,0,0
108-118,0,0,0.72,4.9,0,7.86,257.18,5.57,5.87,0,0,0,0,0,0
120,0,0,0,10.58,0,3.95,237.87,0,14.93,0,0,0,0,0,0
