stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,246.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,521.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,36.7,0,0,0,316.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1792.11,5.21,0,72.85,0,3.63,0,0,0,0,0,0,0
 10-12,4.89,0,0,0,0,64.19,0,0,0,0,0,0,0,0,0,0,0,0,0,431.45,83.33,0,133.99,0,0,0,11.29,0,5.32,0,0,0
 14-21,0,0,0.88,2.18,5.41,0,0,0,0,13.8,4.48,0,0,0.9,0,0,2.03,0,10.84,28.22,39.47,0,2.1,0,0.98,2.33,0,21.26,533.85,0,0.91,0
 24-34,0,0,0,1.28,3.67,0.96,0,0,3.25,7.74,0,0,0,0,0,0,52.69,0,31.45,30.78,19.9,0,0,0,0,0,0,8.7,505.64,0,1.7,0
 36-46,0,0,0,0,0,2.53,0,0,7.26,2.94,0,2.18,0,0,0,0,59.5,0,23.75,31.04,3.04,0,0,0,0,0,0,0,274.91,0,11.71,0
 48-58,0,0,0,0,0,5.35,0,0.75,7.8,5.21,0,6.26,0,0,5.36,0,141.37,0.56,22.19,33.37,1.31,0.62,0,0,1,0,1.42,0,105.88,0,0.71,1
 60-70,0,0,0,0,0,6.11,0,7.51,13.45,2.65,0,2.89,0,0,0,0,328.9,2.82,25.57,43.06,13.53,0,0,0,0,0,0,0,53.91,0,0,0.82
 72-82,0,0,0,5.25,0,13.26,0,4.21,24.81,12.96,0,4.27,0,0,0,0,389.4,2.27,13.36,54.14,2.16,1.06,0,0,0,0,0,0,45.92,0.51,0,3.63
 84-94,0,0,0,1.31,0,21.65,3.17,2.61,12.46,1.29,2.29,1.06,0,0,0,0,298.9,4.86,3.66,26.73,0,0,0,0,3.12,0,0,0,55.98,1.03,0.72,5.79
 96-106,0,0,0,1.92,3.72,10.25,4.64,2.93,23.83,12.42,0,4.06,0,0,1.84,0,278.16,0,3.72,48.78,0,0,0,0,0,0,0.89,0,37.97,0,2.66,6.6
108-118,0,0,0,1.48,2.21,9.93,2,1.93,21.82,2.5,0,4.89,0,0,0,0.49,273.02,0,9.03,14.53,0,0,0,2.17,0,0,0,0,24.71,0,2.32,7.49
120,0,0,0,0,4.58,13.66,0,0,16.72,11.64,0,0,2.07,0,0,0,320.19,2.4,2.8,42.48,0,0,0,0,0,0,0,0,24.91,0,0,0
