stage,axial,blastomeres,endoderm,epidermis,eye,glial,immune,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,13.05,13.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,129.71,0,0,0,0,0,0,0,0,0,0,0,0,11.07,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.38,0,0,0,0,0,0,17.49,0,6.49,0,0,0,0,0,0,0,0
 10-12,0,0,7.73,0,0,0,0,0,0,0,0,49.45,0,4.07,0,0,14.99,0,0,0,0,0
 14-21,0,0,0,0.85,1.17,1.3,0,0,0,2.93,0,13.05,0,0,0,4.82,0,1.82,4.19,0,0,0
 24-34,0,0,0,0,1.87,0.69,0,0,4.57,0,0,7.21,0,0,0,0,0,0,2.23,0,4.24,0
 36-46,0,0,0,0,0.62,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0.73,0,0,0
 48-58,0,0,0,0,0.63,6.83,0,0.37,0,0.42,0,8.25,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.84,0,0,0,0,2.05,0,6.6,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,4.64,1.15,0,0,0,0,0.77,2.11,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.67,2.34,0,0.97,0,0,1.54,0,3.72,0,0,0,0,0,0,0,6.48,0,0
 96-106,0,0,0,0,1.41,0.93,0,0,0,1.5,0,2.58,0.8,0,0,0,0,0,0,0,0,1.89
108-118,0,0,0,0,0,1.45,0,0,0,2.44,0.81,5.51,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,4.55,1.56,6.26,0,0,0,0,0,0,0,0,0,0
