stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.82,79.17,152.15,13.49,0,36.15,0,1.88,0,5.06,8.89,1.95,3,0,2.83,0,0,8.42,0,53.23,0,0,38.06,441.89,14.65,2.75,7.12,4.71,0,14.43,4.73,33.67,2.36,7.75,74.57,184.96,0,0,0,0,0
 24-34,0,1.26,10.04,64.09,1.71,0,86.83,0,2.69,4.09,13.25,0.71,0,2.56,0,3.3,0.66,2.17,2.35,3.74,77.09,1.4,2.43,57.27,1298.93,8.92,14.07,11.84,0,0,45.51,0,0.71,2.44,2.32,10.56,295.34,0,0,27.16,0,0.63
 36-46,0,0,1.13,33.44,1.72,0,149.42,9.5,26.55,3.67,57.67,0.61,0,2.92,3.31,0,0.57,1.63,12.53,0,130.9,0,2.91,31.26,1498.89,17.4,11.41,3.53,0,0,53.72,0.74,0,4.51,0,0.83,357.36,0,1.37,25.16,0,8.13
 48-58,0,0,0.4,20.34,0,0,319.31,3.78,2.51,3.26,123.93,0.9,0,4.96,0.38,0.37,5.3,4.92,0.6,10.3,189.59,3.1,2.89,32.02,1180.84,2.97,6.04,3.09,0,0,45.9,1.21,0,0,1.66,0,193.04,0,1.52,9.17,0,14.71
 60-70,0,0,0,33.45,1.42,0,973.86,2.08,12.84,8.69,165,2.41,0.63,2.62,5.47,32.12,10.08,6.38,2.74,4.91,220.17,0,22.64,39.58,1334.6,4.75,5.89,6.91,0,4.41,32.67,0,0,1.08,3.31,0,138.33,0,7.64,3.62,2.8,15.78
 72-82,0,3.54,0,21.15,8.85,0,1042.49,9.66,5.85,7.02,116.32,12.86,0,1.83,2.81,0.75,9.25,7.37,1.71,5.27,297.36,6.46,5.11,25.51,1057.79,0,9.31,12.1,0,5.79,26.82,0,0,0,0,0,93.67,7.21,4.82,27.23,9.3,4.3
 84-94,0,1.16,0,47.17,1.9,0.8,714.97,5.27,6.12,11.8,110.81,14.1,0,0,11.12,7.27,20.49,0,2.88,3.97,206.72,1.8,6.52,12.11,832.26,0,12.23,14.56,0,2.32,75.5,0,0,2.84,0,0,94.07,3.03,14.2,24.42,11.02,14.29
 96-106,0,1.84,0,58.12,25.3,2.14,617.76,0,7.86,6.22,79.83,23.56,0,0,7.48,4.05,9.17,11.86,0.62,0,221.35,3.74,16.07,13.54,627.56,3.67,9.93,9.54,0,0,81.54,0,0,4.18,0.72,0,33.76,4.3,11.18,22.94,17.09,12.24
108-118,0,1.86,0.74,52.92,7.44,2.1,814.21,3.36,10.39,0,108.36,17.61,0,3.33,9.16,7.6,19.98,7.4,0.97,3.76,198.87,8.29,8.55,17.15,809.23,1.87,11.18,13.48,0,4.87,57.16,0,0,2.99,6.06,0,32.64,7.89,5.41,10.65,24.93,4.49
120,1.19,3.99,0,59.26,16.31,0,629.23,0,9.65,6.1,145.61,11.67,0,6.87,20.62,14.77,0,12.23,3.37,2.84,275.63,0,4.59,13.81,1255.91,0,12.74,24.23,0,4.48,39.57,0,0,6.56,13.04,0,27.77,6.84,5.4,34.12,29.89,1.16
