stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,89.2,2254.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.15,0,0,0,0,0,0,0,0,0,0
  5-6,44.3,2331.09,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.39,0,0,0,0,0,16.17,0,0,0,0,0,0,0,0,0,0
  7-9,21.46,268.19,0,135.01,0,0,0,559.81,0,0,0,0,129.57,0,0,0,0,0,0,0,0,0,0,0,3584.22,24.54,0,0,1398.9,0,0,35.56,0,12.75,0,0,0,0,0,0,0
 10-12,0,161.63,0,176.84,0,12.27,0,348.98,0,0,0,0,12.41,0,0,0,0,0,0,0,0,0,0,0,4207.42,80.33,0,0,1391.62,0,0,34.63,4.43,143.79,0,8.83,0,0,0,0,0
 14-21,0,0,0,19.45,111.05,32.47,0,116.96,0,0,23.97,3.74,0,1.57,0.81,3.73,0,0,0,0,82.85,0,0,48.78,1205.55,18.41,5.26,13.69,38.68,0,23.26,1.21,86.28,4.78,71.53,268.57,0,0,4.3,0,1.58
 24-34,0,0,0.65,5.11,70.34,6.55,0,345.23,1.33,3.78,22.23,4.79,0,4.3,12.97,4.18,7.66,7.48,3.61,0,169.1,0,0.69,51.63,1571.55,4.02,8.38,23.23,0,0,28.89,0,0,0.98,8.45,286.63,0,0,28.11,0,12.05
 36-46,0,0,0,0.61,33.51,5.81,0,571.04,4.61,0,25.64,1.29,0,3.48,10.96,0,0,2.55,16.97,6.55,167.03,3.65,6.19,44.17,1110.7,5.51,4.45,14.59,0,0,13.63,0,0.86,2.03,0,181.18,0,0,13.2,0,24.54
 48-58,0,0,0,0,38.12,0.81,0,439.72,5.2,4.33,44.29,8,0.46,1.62,10.24,0,2.37,4.04,2.89,8.74,136,1.32,8.32,29.48,461.92,1.89,1.23,8.48,0,0,11.35,0,0.92,1.33,0,51.29,0,0,8.59,0,10.64
 60-70,0,0,0,0,63.18,0.66,0,294.39,1,7.39,78.47,8.78,0,0.71,1.54,1.06,1.82,0.77,1.45,0,87.16,1.22,7.8,23.78,256.97,0.63,0.67,2.67,0,0.84,8.47,0,0,1.18,0,14.92,0,0,1.6,0,7.81
 72-82,0,0,0.58,0.56,18.4,3.5,0,83.5,1.26,4.91,42.12,8.58,0,3.03,3.59,1.54,4.18,5.59,1.43,0.49,89.33,0.58,6.11,19.59,138.08,0.5,2.15,7.04,0,0.71,3.06,0,0,2.25,0,6.96,0.92,0.87,11.08,0,3.97
 84-94,0,0,0,0,25.25,5.53,2.29,90.68,0.74,3.18,36.45,3.96,0,1.45,11.79,0,10.98,1.69,2.93,0,94.46,0,8.44,12.99,132.84,0,1.59,13.54,0,0,17.66,0,0,4.98,0,7.5,5.47,0,9.24,6.48,4.94
 96-106,0,0,0.99,0,21.55,12.87,0,65.79,0,0.65,29.29,7.37,0,0.97,10.22,2.72,0,1.56,2.74,0,74.55,0,3.69,15.97,108.13,0,0,12.86,0,1.44,22.53,0,0,4.97,0,1.07,1.4,0.92,10.54,0,1.22
108-118,0,0,0.81,0.61,24.57,9.48,2.09,66.53,1.46,2.73,42.84,11.16,0,0,9.99,0,10.18,1.62,4.84,0,61.92,0.63,2.04,21.7,170.96,2.55,2.43,12.14,0,0,27.07,0,0,0.95,0,0,5.54,0,14.34,0.91,0
120,0,0,0,0,37.25,26.23,1.6,113.46,3.09,2.45,95.33,15.59,0,10.58,23.64,0,9.42,0,0,0,134.56,1.49,6.92,43.37,194.35,0,3.06,0,0,9.18,29.34,0,0,0,0,12.08,1.23,0,11.15,4.05,0
