stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.82,0.87,0,5.57,0,2.73,0,0,0,0,0,0,0,9.22,0,1.59,40.66,2.02,0,0,4.24,0,0,0.85,2.13,0,5.76,14.85,0,0,0,0,0
 24-34,0.73,0,0,2.37,0,4.46,0,0,0,0,0,0,0,3.42,0,7.11,31.35,0,0,0.79,0,0,1.51,0,0,0,0,6.67,0,0,0,0,0
 36-46,0.76,0,0,1.85,0,1.67,0,0,0,0,0,0,0,29.77,1.59,0.63,28.66,0,1.47,0,0,0,4.44,0,1.26,0,0,7.93,0,0,0,0,0
 48-58,0.48,0,0,2.22,0,7.27,0,0.88,0,0,0,0,0.39,7.41,0,0.73,34.62,0,0,0,0,0,0,0,0,1.3,0,7.68,0,0,1.03,0,3.5
 60-70,1.34,0,0,12.76,0,17.02,0,0.6,0,1.02,0,0,0,9.3,6.11,1.13,40.81,0,0,0,0,0,1.89,0,0,0,0,28.55,0,0,0,1.54,0
 72-82,1.27,0,0,4.62,0,0.65,0,0,0,0,3.98,1.34,0,7.03,0,2.17,10.22,0,0.58,0,0,0,0,0,0,0,0,5.6,0,1.21,0,0.52,0
 84-94,7.98,0,0,5.95,0,5.76,0,0,1.01,0,0,0,0,3.47,0,0,7.91,0,0,1.65,0,0,3.16,0,0,0,0,0,0,0,0,2.23,0
 96-106,3.1,0,0,12.44,0,11.07,1.45,0,0.74,0.62,1.05,0.92,0,3.68,2.42,0,13.58,0,0,0.57,0,4.51,0,0,0,0,0,0,3.17,0,0,0,3.81
108-118,4.53,0,2.14,9.94,0.52,0.92,0,0,1.36,0,0.84,0.87,0,8.15,0.46,0.42,17.74,0,0,0.6,0,4.34,6.06,0,1.41,0,0,0.98,0,1.35,0,5.51,0
120,1.81,0,0,25.51,1.27,4.91,0,0,3.36,0,0,2.85,0,19.44,0,0,9.84,0,0,1.43,0,0,1.49,0,0,0,0,1.75,0,0,6.34,4.11,0
