stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,11.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,26.98,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.84,0,0,0,95.39,0,0,4.36,0,0,9.82,0,0,0,0,0,0
 14-21,0,0,10.05,3.26,0,0,0,0,0,2.08,0,0,0,0,0,0,0,3.24,2.1,0,0,87.97,33.16,1.24,0,1.99,1.7,0,2.12,12.73,1.77,5.1,1153.59,3.12,0,0,1.16,0,0
 24-34,0,0,0.88,0,0,1.46,0,0,0.83,3.74,0,2.73,0,0,0,0,0,18.49,8.97,0,0,51.24,20.5,3.89,0,1.31,0,0,0,0,2.54,0,131.4,3.44,0,0,1.51,0,0
 36-46,0,0,0,0.57,0,6.14,0,0,0,1.5,0,7.48,0,0,0,0,0,15.95,26.74,0,0,67.82,89.76,0,0,0,0,0,7.94,12.21,0,0,3.44,13.22,0,0,0,0,0
 48-58,0,0,0.37,0,0,112.03,3.64,0,2.99,32.71,0,0.97,0,0,6.55,0,0,58.94,22.04,0,0,125.92,86.56,0,0,2.85,0,0,0,0,0,9.32,0,18.66,0,0.37,4.3,0,0
 60-70,0,0,0.68,0,0,282.43,6.27,0,0,73.22,0,1.83,0,0,0.61,0,0,52.46,31.5,0,0,101.83,165.4,0,1.95,1.83,0,1.65,1.33,0,0,0,0,6.83,0,1,0,0,0
 72-82,0,0,8.92,0.67,0,274.81,16.22,5.41,1.57,112.33,0,10.33,0,0,0,0,0,28.84,47.02,0,0,112.24,77.89,0,1.41,11.62,0,1.53,2.68,0,0,0,0,7.31,0.87,0.91,1.57,2.65,1.68
 84-94,0,0,0.82,0,0,159.31,8.48,0,0,101.88,0,6.85,0,0,1.01,0.66,0,112.89,56.93,0,0,109.16,79.48,0,0,9.91,0,0,3.6,0,0,0,0,1.72,0,0.71,0,0.57,0
 96-106,0,0,5,7.6,0,176.85,8.62,0.57,0,85.27,0,6.22,2.18,0.73,2.33,0,1.19,39.69,43.9,0.71,0,110.45,71.43,0,1.12,17.32,0,2.52,0,0,0,0,0,4.33,0,0,0.82,0.91,4.65
108-118,0,0,4.33,1.31,0.85,98.9,14.71,0,0,152.91,0.45,1.87,0,0,2.86,1.09,2.63,61.64,78.15,0,1.62,129.59,101.9,2.3,0,14.89,0,0.91,0,0,0.84,0,0,0,1.6,0.8,4.7,1.02,0
120,0,0,9.02,4.28,0,137.31,24.69,0,0,169.22,2.8,0,2.52,0,0,0,0,37.57,91.51,0,0,145.11,90.44,0,0,10.09,19.84,17.14,6.44,0,0,1.22,0,1.81,0,0,0,22.34,0
