stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.32,0,0,0,0,0,0,0,0,0,0
  5-6,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,47.54,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,68.35,0,0,0,29.43,0,0,0,0,114.26,0,0,0,0,0,0,0
 14-21,0,0.85,97.64,13.81,0,0,0,0,2.04,0,0,4.26,11.42,0,0.93,86.66,0,0,20.27,42.67,0,0,0,2.01,0,0,0,3.68,2.64,0.99,3.84,0,0,0,0,0
 24-34,0,0,2.55,0.6,0,0,0,0,0.67,0,0.75,1.96,11.64,0,6.2,54.36,0.76,0,11.86,17.29,0,0,0,0,0,0.65,0.98,0,0.97,1.29,0,0,0,4.61,0,0
 36-46,0,0,0.83,0,0,0,0,0,0,0,0.57,0,0,0,0,6.42,0,0,4.84,9.16,0,0.75,0,0,0,0,0.65,0,0,0,0,0,0,1.12,0,0
 48-58,0,0,0,0,0.76,0,0.57,0,0,0,0,0,0.4,0,0,11.09,1.29,0.85,3.71,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0
 60-70,0,0,0.71,0,0,0,0.91,0,0,0,0,0.65,0,0,0,6.98,0,1.4,0,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0
 72-82,0,0,0.59,0,0,1.48,5.4,0,0,0,0,1.85,1.58,1.85,0,14.43,0,0,0.67,0.68,0,0,1.28,0,0.84,0,0,0,0,0,0,0.51,0,5.19,0,0
 84-94,0,0,0.66,0,2.43,0,0.67,0,1.48,0.76,0,1.58,0,1.3,0,5.87,0,0,0,1.55,0,2.14,0.71,0,0,1.93,0,0,0,0,0,0.62,0,3.67,0,10.8
 96-106,0,0,2.47,0.67,5.34,0.66,4.47,3.04,2.09,0,2.28,4.84,0,1.2,0,17.14,0.77,0.76,0,1.92,0,0.57,0,0,0,1.91,0,0,0,0,0,1.75,0,3.4,1.72,0
108-118,0,0,8.42,0,0,0.45,0,0,1.21,0,0,8.72,1.13,2.66,3.84,11.01,0,1.38,0,9.14,0,0.91,0.52,0,3.85,4.2,0,0,0,0,0,0.46,1.82,4.08,0,0
120,0,0,15.15,0,0,1,4.41,0,0,0,0,0,0,0,0,10.61,3.49,0,0,5.08,0,0,0,0,0,6.95,0,0,0,0,0,12.38,3.24,1.56,7.27,0
