stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,periderm,pronephros,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,11.28,0,0,0,0,0,0,0
 24-34,0.76,0,0,0,0,0,0,0,0,0,0,0,6.75,3.94,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0.6,0,0,0,2.28,0,0,0
 48-58,0,0,0,0,1.98,0,0,0,0,0,0,0,0,5.11,0,0,5.61,0,0,0,0,0,0,0
 60-70,0,0,0,0,137.98,0,0,0,0,0,0,0,0,2.59,0,0.73,21.13,0,0,5.09,0,1.22,0,0
 72-82,0,3.53,0,2.97,441.46,0,0,6.84,0.81,0,0.73,0,0,20.68,0,0,29.91,0,0,0,0,0,0,0
 84-94,0,1.73,0,0,366.43,0,0,15.77,0,0,0,0,0,9.15,0,0,26.33,0,0,0,0,5.2,0,0.64
 96-106,0,4.38,0,1.05,632.68,0.59,0,1.16,1.23,1.55,0,1,0.58,12.74,0,0,26.58,1.3,0,0,0,2.38,0,0
108-118,0,5.16,2.64,1.62,910.1,0,0,1.36,2.64,0.91,0.49,0,0,26.26,0.55,0.99,44.68,0,0.47,0,0,0,0,3.33
120,0,0,0,0,590.92,21.39,10.02,20.53,0,0,0,0,0,12.91,0,0,57.46,2.66,0,1.58,0,0,2.42,0
