stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,mucous,neural,otic,presomitic_mesoderm,spinal_cord,vasculature
  3-4,13.56,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,16.18,0,0,0,0
 10-12,0,0,0,0,0,0,0,10.39,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.82,2.76,0
 24-34,0,0,0.81,0,0.79,0,0,3.29,0,0,1.56,0.66
 36-46,0,0,0,0,0,0,0,26.68,0,0,5.52,0
 48-58,0,0,0,2.09,0,0,0,21.9,0,0,0,0
 60-70,0,0,0,0,0,0,0,6.08,2.01,0,0,0.68
 72-82,0,3.92,0,4.27,0,0.95,0,3.8,0,0,1.08,0
 84-94,0,0,0,0,0,0,0,2.13,0,0,2.56,0
 96-106,0,0,0,0,0,0.62,0.77,2.96,0,0,0,0
108-118,0,0,0,0,0,0,0,3.4,0,0,0,0
120,0,0,0,0,4.35,1.66,0,0,0,0,0,0
