stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.27,64.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,51.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.71,0,32.83,0,0,0,13.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.26,0,0,0,30.67,0,16.13,8.64,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.44,0,0,0,10.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.9,8.31,0,0,16.7,0,0,6.79,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.2,1.52,0,3.28,0,0,0,1.28,1.33,0,0,0,0,0,0,0,1.52,0,0,0,496.26,0,7.66,0,0,0,31.51,0,1.63,0,0,182.3,0,0,0,0,0
 24-34,0,0,0,0,10.15,0,0,19.57,0,3.72,0,30.61,0,0,0,0,0,1.46,2.1,0,11.88,0,0,0,2625.48,1.19,144.79,58.3,0,0,28.74,0,0,0,0,660.51,0,0,3.63,0,4.09
 36-46,0,0,0,0,5.19,0,0,234.58,0,0,0,146.39,0,0,0.74,0,0,5.5,0,0.77,8.45,0,0,3.45,5815.96,0,215.06,38.02,0,0,20.26,0,0,0,0.64,1045.92,0,0,0.59,0,5.95
 48-58,0,0,0,0,25.06,5.39,0,1114.13,0,1.45,3.48,503.23,0,0,0.72,0,11.75,7.73,0,1.1,37.5,0,5.32,1.5,8255,0.39,114.62,47.82,0,0,10,0,0,0.42,0,1395.86,0,0.51,4.18,0,18.08
 60-70,0,0,0.91,0,28.17,0,0,3887.15,3.76,1.14,3.31,604.43,0.85,0,1.72,1.03,14.2,24.8,2.6,0,62.53,0,0.99,6.83,8932,5.04,133.06,111.27,0,1.44,9.19,0,0,0,1.33,1660.54,7.3,0,8.56,2.34,15.95
 72-82,0,0,1.53,0,59.98,11.37,0,6779.08,0.91,0,8.1,635.98,2.22,0.5,0,0,4.67,57.32,0.62,0,88.49,0.74,2.4,2.63,8094.09,0,168.18,141.31,0,2.48,3.27,1.65,0,0.5,0,1170.34,19.55,6.14,3.72,0.76,9.24
 84-94,0,0,2.24,0,55,17.69,0,4944.35,0,4.74,3.1,516.72,4.33,1.27,3.46,0.58,7.71,74.82,0,5.72,119.82,0,13.47,13.91,5650.72,2.32,158.27,231.3,0,0,10.58,0,0,0.73,0,754.45,52.16,4.28,5.09,4.92,0
 96-106,0,0,3.52,0,54.76,26.45,0,5136.19,0,1.14,0,475.34,6.15,6.45,7.58,2.17,4.81,134.75,20.57,0,76.51,4.99,3.88,4.57,4275.78,1.42,232.9,250.87,0,1.17,17.24,7.21,0,0,0,287.27,76.66,4.56,4.6,2.21,10.56
108-118,0,0,3.38,0,39.2,5.09,3.16,4370.93,1.3,2.57,2.56,495.54,13.02,0,1.68,0.85,0,92.17,2.23,0,84.28,0,14.56,0,5038.57,1.92,171.73,253.92,0,4.13,9.46,0,0,4.65,0,314.13,97.98,2.02,7.85,2.66,16.07
120,0,0,0,0,82.76,14.29,0,3553,0,18.49,16.52,1161.83,39.56,0,8.47,2.21,0,104.3,2.7,0,129.2,0,0,20,10548.8,2.14,287.26,409.54,0,0,13.76,0,0,0,0,605.97,32.15,15.93,12.92,0,17.42
