stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.4,0,0,0,0,0,6.22,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,127.44,16.05,0,0,14.11,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.87,0,0,0,55.8,0,0,0,0,0,4.71,0,0,0,0,0,0,0,0,0,0,0,354.59,3.12,0,0,65.02,0,0,0,4.64,0,4.47,0,0,0,0,0
 14-21,0,4.63,0,26.03,0,0,8.46,0,0,0,2.91,1.19,0,4,0,0,0,0,0,0,4.48,0,0,1.14,154.22,0.85,5.83,0.81,0,0,19.8,13.38,1.05,2,99.98,0,0,5.8,0,0.85
 24-34,0,7.27,0.79,14.24,0,0,14.59,0,0,1.54,10.41,1.19,0,1.94,0,0,0,1.66,0,0.65,11.91,1.66,0,10.56,1064.59,3.72,30.53,0.9,0,0,43.6,0,0.76,1.88,402.15,0,0,18.27,0,0
 36-46,0,1.83,0,4.87,0,0,52.52,0,0,1.03,46.4,0.67,0,10.4,0,0,1.97,0,0,0,26.99,1.07,0,4.41,1571.41,0,23.63,6.02,0,0,35.06,9.19,0,0,418.37,0,0,3.64,0,6.11
 48-58,0,0.88,0,10,0,0,193.2,2.16,7.92,1.06,52.15,0,0,7.64,0,0,10.48,1.81,2.25,0.45,42,0,0.53,11.18,1789.79,0,21.3,0.93,0,0,22.61,0,1.33,0,410.89,0,0,3.79,0,1.76
 60-70,0,0.57,0,9.23,0.59,0,425.13,0.8,0,5.57,55.91,0,0,2.71,7.76,0,0,0,0,0,36.96,0,0.71,3.56,2647.19,0,25.21,1.48,0,1.41,48.28,0,0,0,377.2,3.74,0,1.83,0,7.73
 72-82,0,2.97,0.75,12.09,7.27,0,662.94,1.1,9.34,3.11,67.06,2.26,0,0,4.47,0,0,1.55,0,0,73.34,0,6.01,3.65,2673.49,0,31.47,6.8,0,0,28.09,0,0,0,271.65,1.34,0.85,15.54,2.58,7.02
 84-94,0,9.68,0,23.02,1.08,0,418.02,0,0,2.94,56.52,0,0,3.45,0,0,3.5,4.44,0,5.31,33.6,1.16,9.63,8.91,1924.33,0,17.24,4.69,0,0,28.41,0,0,0,131.7,2.36,0,9.89,4.88,27.38
 96-106,0,5.57,1.03,17.58,16.06,0,345.42,0,0,0,55.82,7.98,0,0.73,1.23,0,1.47,1.3,10.14,0,40.71,0,7.55,5.97,1495.27,0.97,49.37,8.94,0,0,34.17,0,0.71,0,66.83,0,0.87,6.26,2.27,4.94
108-118,0,7.91,0.74,16.45,0,1.01,328.1,0,2.03,4.1,54.97,6.59,0,0,1.86,0.64,0,0,2.5,0,52.75,0,20.04,1.92,2832.22,0,27.49,1.41,0,4.52,23.21,0,2.63,0,49.76,1.97,0,0,2.25,0
120,0,1.37,0,24.83,3.86,0,467.23,0,2.55,3.29,105.15,4.01,0,0,0,0,3.92,0,6.31,0,28.62,0,0,3.24,4584.15,1.1,33.13,45.83,0,0,7.26,0,0,0,124.39,0,0,5.85,18.4,0
