stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle
  5-6,10.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26,0,0,0,4.24,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,1.2,3.47,0,0
 24-34,0,1.28,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,126.73,0,0.82,0,0,0,0,0,25.39,0,0
 36-46,0,2.7,0,0,1.03,0,0,0,0,0,0,0,0,0,0,2.07,0,314.44,0,2.38,0,0,0,0,0,57.94,0,0
 48-58,0,0,5.3,0,5.05,0,0,0.64,0,0,0,0,0,0.79,0,1.17,0.53,388.15,0,4.57,0,0,0,0.73,0,25.55,0,0
 60-70,0,1.43,0,0,16.76,0,1.81,5.25,0,0,0.65,0,0,0,0,0,0,776.57,0,2.42,0,0,0,0.68,0,59.75,0,0
 72-82,0,1.23,2.88,0.57,88.44,0,0,8.34,0,1.79,0,0.75,5.83,0.92,0,4.08,0,780.92,0,2.4,0,0,0,0,0,40.06,0,0
 84-94,0,0.56,7.16,2.91,50.3,0,0,6.56,0,0,0.64,0,0,3.3,0,4.16,0,709.23,0.64,0,0,0,0,11.39,0,25.81,0,0
 96-106,0,2.51,0,0,64.92,0,0,4.23,1.06,0,0,0,0,2.1,4.97,1.83,0,468.62,0,4,1.53,0,2.3,13,0,18.42,2.64,1.27
108-118,0,3.14,1.59,0,72.45,2.21,0,7.12,0,0,0,0,0,1.03,0.56,7.26,0,547.63,0,2.63,1.6,0,5.75,5.99,0,17.08,5.31,0
120,0,5.54,3.31,0,56.04,0,0,14.47,0,0,0,0,0,6.29,0,0,0,728.96,0,3.97,0,0,0,2.32,0,28.37,0,0
