stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,14.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84,0.9,0,0,0,0,0,0,1.24,0,0,0
 24-34,0,0,0,0.81,0,0,0,0,3.76,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,6.28,0,0
 36-46,0,0,0.76,0,0,0.88,0,0,0,0,0,0,1.08,0.87,0,0,6.52,0,0,0,0,1.21,0,0,2.68,0,0
 48-58,0,0,0.44,0,7.95,0,0,0.43,0.4,1.91,0,2.23,2.84,0,0,1.04,3.69,0,0,0,0,0,0,2.9,1.7,0,0
 60-70,0,0,5.76,0,0,0,1.57,6.26,0,9.77,0,10.92,4.77,0,0,1.68,1.56,0,0,0,0,0,1.84,0,2.56,0,0
 72-82,0,0,2.11,0,6.36,0,1.5,28.8,0,2.46,2.2,6.12,6.98,0.58,3.02,0,15.04,0,0,0,0,2.27,0.49,0.96,5.42,0,0
 84-94,0,1.23,3.34,0,0,0,1.9,68.54,0,6.23,0,36.75,8.59,0,0,0,15.14,0,0,0,1.53,1.26,2.57,0,4.87,0,0
 96-106,0,0,2.24,1.65,10.07,1.32,3.12,192.3,0.89,6.94,0,100.62,8.28,0,0,0,39.32,0,0,0,0,3.35,0.69,0,2.55,4.24,0
108-118,0,0,0.93,0,9.62,0,4.37,183.33,0,5.26,0,128.81,19.14,0,0,1.97,52.29,0,2.71,0,1.53,0,1.56,0,5.76,0,4.3
120,0,0,0,0,3.63,0,0,99.43,0,1.42,0,111.48,9.64,0,0,0,24.15,2.89,0,0,0,2.05,0,0,0,0,0
