stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,121.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.48,26.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.21,0,0,0,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,15.72,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0,61.13,7.26,0,0,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,34.13,9.1,7.47,0,0,0,0,8.29,0,0,9.52,0,0,0,0,3.54,1.71,0,0,13.11,0,1.37,0,0,0,0,0,1.28,0,0,1.84,19.27,0,0,17.69,0,0
 24-34,0,0,24.17,8.36,18.49,0,0,0,0,43.4,0.75,0.61,37.6,1.91,0,0.84,4.12,3.54,5.13,0,0,13,0.83,0,0,0,0,0,0,0,0,0,0.6,2.27,0,0,41.31,0,2.18
 36-46,0,0,38.62,9.29,4.46,0,0,1.94,0,0,0,0,13.85,0.65,0,0,0,2.09,4.32,1.06,0,13.79,0.89,0,0,0,0,25.23,0,0,0,0,0,2.77,0,0,16.83,0,0
 48-58,0,0,108.47,3.13,9.03,33.25,3.34,0,0,0.75,0.54,1.26,2.34,0,0,1.47,0.51,18.8,1.95,0,4.78,15.11,2.33,0,0,0,0,0,0,0,0,0,0,1.88,0,0,10.83,0,3.89
 60-70,0,0,114.73,2.59,7.09,28.35,1.81,10.26,0.64,0.89,0,1.59,3.41,0,0,0,3.88,47.47,1.25,0,11.16,12.59,0,2.13,0,0,0,0,0,0,0,0,0,0,0,1.17,8.07,0,2.08
 72-82,0,0,232.52,5.74,40.92,52.91,5.3,16.22,4.39,2.07,0.7,4.55,3.78,0,9,0,0,166.36,8.45,2.74,5.42,33.09,6.09,6.94,0,0,0,0.95,0,0,0,0,0,0,3.99,3.49,16.72,3.62,4.21
 84-94,0,0,375.87,9.82,9.64,80.34,13.53,25.54,13.54,0,0,14.88,7.05,4.5,1.32,0,0.91,175.24,29.42,4.51,2.86,49.03,3.09,5.55,0,0,0,0,0,0,0,0,0,0,17.13,1.67,26.47,0,1.31
 96-106,0,0,676.97,49.14,47.09,109.86,7.48,57.32,53.03,0,4.03,19.98,10.6,0.63,18.58,0.73,0,358.84,12.75,11.97,10.05,60.23,6.29,16.56,4.18,0,5.54,2.77,2.06,0,0,0,0,10.01,41.41,8.59,60.46,3.72,0
108-118,1.01,0,1228.61,2.94,102.23,232.01,19.09,74.58,52.51,0,0,35.27,20.34,9.43,12.91,9.71,0.78,451.22,20.93,2.21,38.13,82.19,11.43,23.52,10.45,0,8.2,10.34,0,0,1.72,0.53,0,4.58,61.72,5.76,61.17,6.3,0
120,0,0,790.19,6.83,74.35,170.99,32.82,35.8,47.73,5.2,3.83,24.81,14.68,0,8.07,13.1,1.6,437.14,24.39,33.51,23.88,124.64,21.16,26.6,31.97,0,22.14,1.25,0,0,2.61,0,0,21.11,37.26,5.88,69.33,2.57,3.17
