stage,axial,blastomeres,endoderm,eye,fast.muscle,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm
  3-4,30.38,328.08,0,0,0,0,0,0,0,0,0,19.97
  5-6,14.74,359.32,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.52,0,15.22,0,3.78,0,0,73.9,6.86,28.65,0
 10-12,0,0,10.24,8.11,0,0,0,0,27.11,0,0,0
 24-34,0,0,0,0,0,0,0,0.78,0,0,0,0
 48-58,0,0,0,0,0.68,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.95,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.52,0,0,0,0,0
 84-94,0,0,0,0.87,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,5.17,0,0,0
108-118,0,0,0,0,0,0,0,0.62,0,0,0,0.43
120,0,0,0,0,0,0,0,1.43,0,0,0,0
