stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pronephros,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,29.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.52,0,0,0,0,0,0,0,10.37,3.32,2.91,24.05,0,0,0
 36-46,0,0.78,0,0,0,0.57,0,0,0,0,1.74,5.67,1.27,0,21.09,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.17,0.84,0.73,12.95,0,0,7.57,0.55,0,0
 60-70,0,0,0,1.65,0,0,0,0,3.33,0,0,8.16,0,0,12.68,1.85,0,1.46
 72-82,0,0,0,8.47,0,0,0,0,1.01,0,0,17.21,2.85,0,39.5,0,0,0
 84-94,0,0,0,10.84,0,7.63,0,0,2.15,0,0,7.47,10.25,0,54.12,0,1.08,0
 96-106,0,0,0,62.53,0.71,0.9,0.71,2.97,2.28,0,0,5.93,1.23,0,79.39,0,0,0
108-118,0,3.77,1.46,43.01,0,0.44,0.61,0,7.26,0,0,2.62,0.88,1.33,105.92,0,0,0
120,0,0,0,35.79,0,6.37,0,2.89,12.41,9.54,0,55.84,0,0,104.9,0,0,0
