stage,epidermis,eye,gut,lateral.line,neural,olfactory,otic,taste
  7-9,0,0,0,0,5.74,0,0,0
 24-34,0,0,0,0.63,0,2.31,0,0
 36-46,0,0,0,0,3.41,1.31,0,0
 48-58,0,0,0,0,0.87,0,0,0
 60-70,0,0,0,0,2.57,1.08,0,0
 72-82,0,3.19,0,0,0,0,0,0.94
 84-94,0,0,0,0,0,0,1.52,0
108-118,0,0,0.5,0,0,1.6,0,0
120,1.85,0,0,0,29.12,0,0,0
