stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,183.98,2630.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.07,0,0,0,0,0,0,0,0,0
  5-6,434.64,4285.13,0,21.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.55,44.86,0,0,127.37,0,66.21,0,0,0,0,0,0,0,0,0
  7-9,133.64,240.55,0,320.84,0,0,646.78,0,0,0,0,101.68,0,0,0,0,0,0,0,0,0,5122.76,187.59,0,0,2152.32,0,13.03,35.59,0,0,0,0,0,0,0,0
 10-12,0,115.86,0,458.54,0,26.2,357.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3479.25,252.62,0,0,1645.63,0,4.24,10.8,12.23,64.56,5.3,0,0,0,0,0
 14-21,0.93,0,0.82,7.11,124.95,15.44,35.55,0,0,29.19,11.81,0,0,0,0,0,0,47.9,0,0,22.96,356.49,85.98,3.9,8.19,4.62,0,1.82,0.99,109.17,5.81,50.5,165.85,0,0,3.16,0
 24-34,0,0,0,4.96,23.94,0,48.65,0.9,0,5.8,1.69,0,0,0,3.23,0.74,0,50.2,0,0,17.05,336.51,3.55,0,4.93,0,0,0.59,0,0,8.98,9.92,73.6,0,0,2.97,0
 36-46,0,0,0,0.56,20.58,0,81.22,0,4.4,7.46,0,0,0,0,0,0,16.08,46.38,0,5.87,8.75,291.17,0.56,0.79,10.39,0,0,0,0,0,7.05,0,42.44,0,0,1.72,0
 48-58,0,0,0,0,3.74,0,102.37,5.71,2.99,13.25,0,0,0.44,0,4.56,0,4.62,71.83,0,19.69,10.73,295.11,0,0.94,8.74,0,0.59,0,0,0,0,0,40.08,0,0.42,2.64,0
 60-70,0,0,0,0,3.63,0,53.03,2.33,1.77,14.1,0,0,0,7.65,1.35,3.22,0,123.52,3.03,17.67,8.88,183.31,0,1.09,13.96,0,0,0,0,0,0,0,22.8,0,14,0,6.94
 72-82,0,0,0,0,5.12,0,26.67,0,3.14,35.19,0,0,0.68,0,2.17,0,0,217.95,0,9.1,5.6,117.45,1.43,0.79,6.42,0,0,0.69,0,0,1.4,0,15.47,0,1.75,0,2.98
 84-94,0,0,3.89,0,4.77,0,40.05,0.8,2.68,5.41,0,0,0,0,3.93,0,1.11,170.05,0.75,17.55,1.77,90.85,0,1.53,2.88,0,0,0.83,0,0,0,0,15.3,0,5.66,0,13.49
 96-106,0,0,0,0,0.64,0,14.6,1.19,0.6,5.66,5.39,0,3.96,0,10.31,0.63,0,192.27,0,5.95,2.94,92.22,0,0.57,4.42,0,5.34,0,0,0,0.69,0,1.69,0.88,7.52,0,18.96
108-118,0,0,1.03,0,7.96,0.5,23.69,0.71,0.52,18.86,0.42,0,0,1.7,5.77,2.14,0,133.9,1.14,7.66,0,85.8,0,4.36,12.19,0,0,0.47,0,0,0,0,6.16,0,5.21,0.5,13.17
120,0,0,4.41,0,6.91,18.76,25.12,0,2.17,33.93,0,0,0,1.44,2.48,0,0,286.53,0,0,2.62,109.38,0,1.27,3.63,0,0,0,0,0,1.22,0,0,0,21.74,0,38.25
