stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.24,0.93,11.52,0,0.89,0,0,0,7.95,0,0,0,0,0,0,0,0,6.1,0,0,3.18,97.22,0.99,0,0,0.99,0,15.75,5.26,9.46,0.99,10.71,40.37,0,0,0,0,0.85
 24-34,0,0,12.53,0,9.79,1.2,1.1,0,9.81,0.67,0,0,0,0.85,0,0,0,18.77,0,0,8.72,181.59,6.31,1.63,1.32,0,0,36.35,2.32,1.06,0.91,1.24,75.18,0,0,6.74,0,3.61
 36-46,0,0,7.33,1.47,21.4,0.94,1.12,1.41,12.63,0,0.75,0,0,0,0.57,0,11.16,15.23,2.76,1.12,1.28,111.02,0.56,1.6,0,0,0,44.64,0,5.76,0,0,37.22,0,0,0.57,0,0
 48-58,0,0,3.44,0,31.54,3.56,2.74,0,12.63,0,0.48,0.53,0,0,0,0,14.37,11.67,0.53,0,3.87,74.75,0.57,2.38,1.02,0,0,23.19,0,7.26,1.31,0,26.87,0,0,0.53,0,0.62
 60-70,0,0,6.17,3.37,14.01,0,6.71,0,6.59,0,0,0,0,0,0,0,0,16.82,0.67,0,2.98,52.32,0,0,0,0,0,19.91,0,12.05,0,0,6.76,0,0,2.18,0.81,0
 72-82,0,0,2.84,0.84,19.07,0,1.28,2.11,11.62,1.13,0,0,0,0,0,0,0,13.98,0,0,0.71,35.72,0,0.74,9.39,0,0,1.93,0,1.87,3.15,0,2.86,0.74,0,0.98,0,0
 84-94,0,1.01,8.61,5.64,20.09,0,2.09,1.42,15.32,0,0.6,1.07,1.07,0,0,0,0,24.66,0,0.57,0,28.71,0.68,3.5,5,0,0.79,13.09,0,0,0,0,4.81,0.6,0,0.66,0,0
 96-106,0,0,2.07,1.02,11.27,0.74,3.3,0,8.07,0.83,0,0.78,0,0,0,0,0,5.4,0,1.41,4.61,24.89,0.6,2.39,13.82,0,0,13.96,0,1.71,0,0,1.9,0,0,1.32,0.63,0
108-118,0,0,3.08,0.46,12.76,0,0.7,3.59,9.16,1.41,0,1.13,0,0.61,0.61,0.43,2.09,13.16,0,1.58,0.7,37.92,0.56,3.34,8.03,0,0.92,7.42,0,0.45,0.5,0,0,0,0.54,0.74,0,0
120,0,0,5.04,1.53,7.67,1.14,1.25,0,16.68,0,6.79,1.09,0,0,2.98,0,0,11.29,0,3.2,2.2,74.8,0,3.9,6.15,0,0,15.86,0,2.29,2.57,0,0,0,0,3.09,0,0
