stage,epidermis,eye,glial,gut,neural,olfactory,pronephros,spinal.cord
 10-12,0,0,0,0,10.02,0,0,0
 14-21,0,0,0,0,0,0,2.06,0
 24-34,0,0,0,0,4,0,0,1.26
 36-46,0,0,1.19,0,11.21,4.05,0,1.3
 48-58,0,0,0.68,0,6.23,0,0,3.94
 60-70,0,0,0,0,22.5,0,0,3.65
 72-82,0,2.29,0,0,50.6,0,0,0
 84-94,0,4.55,3.24,0.84,36.69,0,0,0
 96-106,0,5.6,0.92,0,38.56,0,0,0
108-118,0,0,2.89,0.91,23.67,0,0,0
120,5.34,0,0,0,106.53,0,0,0
