stage,blastomeres,epidermis,eye,fast_muscle,glial,gut,heart,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,37.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0,10.61,2.98,1.62,0,0
 24-34,0,0,0,0,0,0,0.68,0,0,0,0,0,7.36,0,0,0,0.67,0,0,0,0
 36-46,0,0,0.85,0,0,0,0,0,0,0,0,0.7,7.81,0,0,0,0,0,0,0,0
 48-58,0,0,1.51,0,0,0,0.51,0,0,0.54,0,0,0,0,0,0,0,0,0.84,0,0
 60-70,0,0,2,5.11,0.71,0,0,0,0,4.24,0,0,9.88,0,3.7,0,0,0,0,1.56,15.27
 72-82,0,0,13.02,11.03,1.37,0,0,0.69,0,22.77,12.77,1.93,4.37,0,0,0,0,0,0,6.37,50.61
 84-94,0,0.64,5.28,34.77,0,0,0,0,0,23.05,7.85,6.8,20.93,0,0,0,0,0,4.88,6.47,89.16
 96-106,0,0,7.74,46.19,0,2.87,3.87,0,2.09,30.66,0,0,9.16,1.6,0,0,0,0,0,26.23,175.88
108-118,0,0,19.54,24.61,0,0.45,0,0,0.7,34.09,5.65,9.08,9.33,0.91,0,0.82,0,0,0,8.07,104.62
120,0,0,2.64,20.43,0,0,0,0,3.67,13.8,14.14,0,5.1,0,1.13,0,0,0,0,6.92,170.36
