stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,98.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.32,0,0,0,0,0,0,0,0
  5-6,129.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.64,8.48,0,0,8.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.71,0,0,0,3.77,0,14.13,0,0,0,0,0,0,0,0
 10-12,8.88,27.64,0,5.53,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.42,0,0,0,68.12,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.36,3.07,133.92,1.18,0,0,0,3.27,0,9.51,0.8,0,0,0,3.78,0,0,0,14.53,2.97,0.92,0,4.24,0,0,0.91,2.79,3.94,9.77,0,0,3.14,0
 24-34,0,0,4.59,55.87,0,23.56,0,1.24,0,1.18,13.92,2.4,0,0,0,0.73,10.28,0,0,27.62,0,14.34,0,0,0,0,0,0,1.04,2.95,0,0,35.15,0
 36-46,0,0,0,1.78,0.97,5.57,0,0,0,0.56,0.87,0,0,0,0,0,28.62,0,1.5,23.16,0,5.84,0,0,0,0,0,0,0,2.38,0,0,23.01,0
 48-58,0,0,0,4.69,0,4.56,1.88,0,0,1.51,0,0,0,0,0,1.89,22.39,0,0.49,8.79,0,4.15,0,0,0,0,0,0,0,0,0,0,32.97,0
 60-70,0,0,0.9,8.2,0,0.68,1.64,0,0.64,0,3.99,10.89,0,0,0,3.72,32.19,0,0,3.98,0,6.49,0,0,0,0,0,0,0,1.05,0,0,42.59,0
 72-82,0,0,1.56,11.91,1.11,3.61,0,0.8,4.74,0,13.8,0,0,0.91,0,19.24,44.17,0,0.71,21.89,0,3.7,0,0,0.84,0,0,0,0,2.23,4.07,0,83.69,4.01
 84-94,0,0,7.52,9.43,1.77,2.99,0,0,0,1,17.59,0,0,0,0,11.22,52.57,3.58,0.94,17.29,0,0,0,0,0,0,0,0,0,0,12.54,1.17,64.89,2.71
 96-106,0,0,9.16,33.63,17.01,5.09,0.58,1.01,0.63,0.61,62.48,0.58,2.79,0,0.63,27.51,100.16,0,0.94,17.85,0,4.34,0.78,0,0,13.42,0,0,0,0,18.11,0,129.25,1.42
108-118,0,0,21.1,14.06,4.67,6.94,0.66,1.35,2.6,0,59.57,3.18,1.7,0,0,11.52,65.02,1.04,1.08,31.7,0,3.39,0,0,5.59,4,0,0,0,0,26.1,0,81.03,4.82
120,0,0,6.77,12.32,7.08,0,0,0,0,0,98.11,0,0,0,0,11.08,10.41,0,0,24.05,0,2.54,0,0,0,1.89,0,0,0,0,9.22,0,113.54,0
