stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,iridophores,mesenchyme,muscle,neural,otic,periderm,spinal_cord
 14-21,0,0,0,0,0,0,0,0,1.02,0,1.96,0,0,2.29
 24-34,0,0,0,0,0,0,0,0,0,0,7.81,0,0,2.32
 36-46,0,5.37,0,0,0,0,0,0,1.5,0,25.21,0,2.34,2.49
 48-58,0,1.6,0,0,0.57,0,0,0,2.44,0,24.7,0,0,8.93
 60-70,0,2.54,0,0,2.91,0,0,0,0,0,30.36,0,0,2.24
 72-82,0,0.6,0,0,2.17,0,3.97,0,2.86,5.38,10.05,0,0,1.45
 84-94,0,0,0,0,0,0,0,0,2.79,0,10.74,3.61,0,0
 96-106,0,11.32,0,1.63,0,0,0,0,0.98,0,4.05,0,0,0
108-118,0.7,0,0.68,0,0,0,0,0,4.78,0,4.34,0,1.86,0
120,1.16,2.87,0,0,0,2.62,0,3.65,0,0,8.4,0,1.36,0
