stage,epidermis,eye,glial,immune,mesenchyme,neural,periderm,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,1.01,1.42,0,0,0,0
 24-34,0,0,0.84,0,0,3.93,2.07,0,0,0
 36-46,0,0,0,0,0.83,4.08,0,2.1,0,0
 48-58,0,1.47,0.89,0,1.73,14.16,0,0.71,0,0
 60-70,2.03,2.98,0,0,0,3.76,0,2.72,0,0
 72-82,0,0,0.58,0,0.53,7.05,0,3.86,0,0.93
 84-94,0.72,1.93,0,0,4.66,1.79,0,0,3.08,0
 96-106,1.93,1.3,0.8,1.05,0.91,4.85,0,0,0,0
108-118,0,7.41,0,0,0,5.5,0,0,0,0
120,0,0,4.16,0,10.18,0,0,0,0,0
