stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,5.29,0,0,0,0,0,1.35,0,2.05,4.57,0,0
 24-34,0,4.72,0,0,0,0,0,0.79,0,0,0,5.4,0,0.69,65.52,0.69,0,0,0,2.15,0,0.7,0.7,7.05,2.11,0
 36-46,1.65,9.59,0,0,0,0,0,0,0,0,0,3.54,0,0,36.38,0,0,0,0,6.94,0,0,0,0,1.6,0
 48-58,3.3,15.28,0.39,0,6.3,0.38,0,0,1.22,0,0,14.08,0,3.25,36.41,6.31,0.44,1.16,0,9.91,0,0,0,0,0,0
 60-70,7.18,17.27,6.5,0,0,0,0,8.09,0,0,0.73,11.91,0,6.16,26.03,0,0,0.85,0,6.46,0,0,0,0,8.25,0
 72-82,0,8.31,0,0,2.29,0,0,0,0,0,0,5.16,0,1.07,17.37,0,0,0,0,5.32,0,0,0,4.5,0,0
 84-94,0,1.01,0,0,0.82,0,0,0,0,0.73,0,4.27,3.19,3.42,0,0.89,0,2.58,3.25,0,0,0,0,0,1.19,1.29
 96-106,0.79,3.76,0,0,0.92,0,0,0,0,0,0,0.94,0,0,3.72,0,0,0.62,0,0,0,0,0,0,0,0
108-118,0,1.43,0,0,0,0,0,0,0,0,0,0,0,1.67,11.9,0,0,0,0,0,0,0,0,0,0.78,0
120,1.36,6.51,0,16.69,7.79,1.92,1.19,0,0,0,0,9.22,0,0,2.53,0,0,1.47,0,0,0,0,0,0,0,0
