stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,9.43,0,0,0,0,16.43,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,22.36,0,0,0,0,0,0,0,0
 14-21,1,2.91,0,0,0,0,0,0,0,0,0.87,0,0,3.18,1.46,0.88,0.82,0,0
 24-34,0,0,1.68,0,0,0,0,0,0,0,5.67,0,0,0,0,0,1.26,2.58,0
 36-46,0.65,0,1.01,0,0,0,0,0,0,0,5.88,0,0,2.95,0,0,5.51,0,0
 48-58,0,0,1.91,0,0.98,0,0,0,0.4,1.38,3.78,0,0,1.89,0,0,1.36,0,0
 60-70,0,0,11.81,0,1.98,0,0,0,0.79,0,9,0,0,0.63,0,0,1.64,0,0
 72-82,0,0,1,1.08,1.31,0,0.53,0,2.96,0,16.11,0,0.81,0,0,0,0,2.09,0
 84-94,0,0,5.22,0,0,0,0,3.6,2.45,0,3.03,0.57,0,2.14,0,0,0,1.3,0
 96-106,0,0,1.36,0,2.95,0,0,0,1.99,0,5.85,0,0,0,0,0,8.22,0,0
108-118,0,0,0.64,0,0,0,0.91,0,1.97,0,8.49,0,0,1.71,0,0,0,0,1.13
120,0,0,0,0,0,0,0,0,0,0,14.67,0,0,0,0,0,0,0,0
