stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,36.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,32.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.11,0,0,0,12.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.09,0,0,4.24,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.96,4.56,0,0,0,0,0,0,0,20.01,0,0,0,0,0,1.02,0,0,0,7.97,0.86,0.97,0,0,0,0.83,0,2.3,1.06,0,74.05,0,0
 24-34,0,0,0,4.74,9.5,0,1.54,0,0,0,0,0,99.54,0,0,0,0,0,2.19,0,0,0.67,63.25,0,0,0,0,0,0,4.56,0,6.83,0,1558.01,0,0
 36-46,0,0,0,14.08,11.06,0,5.36,0,0,0,1.55,0,51.93,0,0,0,0,2.18,0,0,0,1.64,41.59,0.69,0,0,0,2.47,1.78,3.08,0.83,11.69,0,1901.08,0,0
 48-58,0,0,0,21.53,13.03,0,20.43,0,2.46,0,0,0,70.68,0,5.33,0,0,1.87,6.95,1.19,1.09,0.38,45.91,1.07,0.5,0,1.21,11.19,0,0,0,9.15,0,1931.71,0.65,7.97
 60-70,0,0,0,24.73,10.02,0,13.56,0,0,0,0,0,32.42,0,0,0,0,0,0.98,0,0,0,23.15,0,0,0,0,0,0,4.15,0,8.94,0,1217.61,0,0
 72-82,0,0,0,23.21,1.05,0,29.32,0,2.77,0.89,2.27,2.21,118.54,0.55,0,0.93,0,0,5.64,0,0,0,46.08,0,2.42,0,0,0,0,0,0,9.78,1.97,2309.47,6.14,0
 84-94,0,0,0,61.04,0,0,2.96,0,4.44,3.87,0,4.76,52.04,1.71,0,0,0,0,5.77,0,0,0,18.28,0,0,0,0,3.76,0,0,0,8.12,2.11,2026.19,0,4.52
 96-106,0,0,0,46.82,14.14,0,28.64,0.81,0.84,7.64,9.81,0.56,137.39,21.15,0,0,0,0,2.41,0,0,3.57,30.02,0,1.77,0,0,6.35,0,8.43,0,1.12,0,2461.32,10.62,0
108-118,1.79,0,0,55.06,14.01,6.91,29.58,0,11.23,0,6.25,0,97.89,10.13,0.57,0,0.6,0,29.43,0,0,0,23.18,0,0,0,0,2.26,0,4.43,0,0,0,2054.7,0,0
120,0,0,0,41.72,9.62,0,0,0,3.78,0,0,4.66,70.62,9.29,0,8.53,0,0,10.24,0,0,0,36.37,1.29,0,0,0,3.95,0,0,0,0,0,1384.06,20.7,0
