stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,4.23,0,0,0,192.68,0,0,0,0,1.45,0,0,0,0
 24-34,0.64,11.35,0,3.32,0,0,0,0,0,0,0,0.71,0,0,6.68,0,0,0,8.41,0,0,0,452.27,0,0,1.55,0.64,1.75,0,1.49,0,0
 36-46,0,22.65,0,2.33,0,10.72,0,1.51,0,0,0,8.75,3.52,0,7.18,2.13,0,3.08,16.5,0,0,0,701.69,0,0,2.5,0,0.65,0,0,0,0
 48-58,0,10.62,0,10.54,7.27,32.07,0,3.92,0,0.63,4.89,0.4,0,0,21.36,11.07,4.07,3.56,45.34,0.62,0,42.95,923.16,0,0,91.6,0,6.99,0,0,0,0
 60-70,0,43.35,0,27.89,4.83,22.17,1.21,8.01,0,0,1.1,0,0,0,50.82,0.85,5.36,5.29,50.71,0,1.76,0,698.04,0,0,15.07,0,8.16,0,0,0,0
 72-82,0,25.74,0,52.78,0.69,26.01,0,25.69,0,0,0,1.41,0,0,69.78,2.36,17.93,2.46,217.51,0,1.66,0,445.21,0,0,10.31,0,2.95,0,2.54,0,8.32
 84-94,0,24.83,2.08,19.74,15.71,63.95,0,1.4,1.01,0,1.54,10.07,0,0,81.06,3.8,6.25,9.22,181.11,0,0,0,993.85,0,0,5.85,0,0,0,2.33,2.23,0
 96-106,0,48.65,14.68,1.67,19.55,96.37,1.73,24.7,4.19,2.51,2.5,6.88,0,0,75.17,3.1,13.66,12.75,158.16,0,0.91,0,766.83,0,0,3.67,0,7.41,0.78,1.74,0,0
108-118,0,263.41,0,2.02,4.25,92.21,0,0,0.5,0,0.79,7.83,0,0,138.83,7.34,8.82,15.85,41.36,0,8.68,0,371.14,0,1.06,0,0,0,2.19,0,0,0
120,0,7.39,0,2.1,3.56,34.83,0,0,0,0,0,6.4,0,224.39,41.9,1.31,34.18,11.18,147.73,0,0,0,262.54,2.24,0,1.03,0,0,2.15,0,0,0
