stage,blastomeres,endoderm,epidermis,eye,glial,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,17.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,39.91,5.07,0,0,0,0,0
 10-12,0,6.06,0,5.96,0,0,0,0,14.65,5.46,0,5.35,0,0,0
 14-21,0,0,0.85,0,0,0,0,0,3.62,0,0,0,0,0,0
 24-34,0,0,0.6,0.61,0,0,0,0,5.99,0,0,0,2.43,0.81,0
 36-46,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0,1.58
 48-58,0,0,0.52,0.65,0.83,0,0.44,0.42,7.98,0,0,0,0,4.89,0
 60-70,0,0,0,1.85,1.14,0,0,0,2.37,0,0.63,0,0,0.71,0
 72-82,0,0,0,0.49,0,0,0,0,5.8,0,0,0,0,7.27,0
 84-94,0,0,5.71,0,1.81,0.62,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.67,0.61,0,1.31,0,3.74,0,0,0,0,0,0
108-118,0,0,3.36,0,0,0,0,0,2.08,0,0,0,0,0,0
120,0,0,0,0,8.16,0,0,0,1.93,0,0,0,1.26,0,0
