stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,754.96,13739.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.65,0,0,0,0,0
  5-6,900.53,18042.38,70.36,0,0,0,0,0,0,0,16.22,0,0,0,0,1373.31,0,257.19,111.12,0,0,0,0,0
  7-9,0,171.88,826.27,0,0,12.65,0,0,0,0,0,0,0,0,0,3643.59,42.73,3452.04,0,21.36,0,12.83,0,0
 10-12,0,135,516.37,0,6.59,29.16,0,0,0,0,0,0,0,0,0,2517.06,20.58,5605.44,0,5.62,0,221.46,6.84,0
 14-21,0,4.64,0,70.04,10.49,0,0,0,0,0,0,0.94,15.08,13.92,6.07,23.7,0,334.11,3.74,0,400.21,0,32.92,5.03
 24-34,0.88,0,0,0,0,0,0.82,2.83,0,0,0,0,5.47,7.31,1.43,11.12,0,0,0,0,0,0,31.92,16.01
 36-46,0,0,0,1.58,0,0,0,0.6,0,0.95,0,0,0,5.65,0.62,0,0,0,0,0,0,0,0,0.63
 48-58,0,0,0,0,0,0,0,0.45,0,0,0,0,0,4.37,0.72,9.08,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,5.26,12.76,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,4.37,0,1.77,1,0,0,0,0,6.02,0.58,14.79,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0.55,1.02,3.76,0,0,0,0,0,0,0,4.31
 96-106,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.62,7.25,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,8.18,0,0,0,0,0.5,0,9.92,0,0,0,0,0,0,0,0
120,0,0,0,0,0,7.72,0,0,0,0,0,0,0,0,0,17.62,0,0,0,0,0,0,0,0
