stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,37.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,16.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.88,0,0,17.76,0,0,0,0,0,0,0,0
 10-12,0,12.38,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,55.18,0,0,28.36,0,0,0,0,0,0,0,0
 14-21,0,0,2.44,0,0,0,0,1.2,0,0,0,0,0,1.07,0,0,33.4,0,0,0,0,0.96,0,9.65,0,0,0,0
 24-34,0,0,0.59,0,3.53,0,0,0,0,0.67,0,0.71,0,3.9,0,2.5,134,2.87,0,0,3.96,0,2.06,354.36,0,3.22,0,0
 36-46,0,0,0,1.58,11.56,2.41,0.82,0,0,0.98,0,1.46,0,11.41,0.89,3.14,337.62,0,1.52,0,1.64,0,0,1165.21,0,3.93,0,0
 48-58,0,0,1.13,0,44.6,0,0,1.32,0,3.11,0,0,0,11.55,0,0,346.89,0.69,0.89,0,1.92,0,0,1241.93,1.28,0.87,0,7.97
 60-70,0,0,8.05,0,45.73,0.87,0.87,2.34,0,10.82,0,0,0,16.17,0,1.27,533.67,0,0,0,0,0,1.06,1246.53,0.73,0,1.46,0
 72-82,0,0,6.89,0,64.43,4.54,3.98,16.85,1.41,1.62,0,2.82,0,7.56,0.88,2.05,552.99,0,0.74,0,2.99,0,0,671.32,0,1.21,3.02,0
 84-94,0,0,1.27,0,41.87,1.26,0,25.87,0,0.55,0,0,0,25.37,0,0.86,426.08,0,1.41,0,0.78,0,0,441.83,0,2.38,0,0
 96-106,0,0,7.27,15.13,33.71,0,0,63.08,0,1.81,0,0,2.25,10.27,0,0,389.82,0,0,0,2.25,0,0,259.75,0,1.85,1.67,9.01
108-118,0,0,4.02,0,29.37,0,0,129.03,0,3.78,5.15,0,0,2.25,0.45,0.92,372.6,0,0,0,0,0,0.72,257.76,0,3.67,0,4.15
120,0,0,7.88,0,25.01,0,0,221.86,0,6.97,0,1.5,0,38.13,0,0,570.84,0,0,0,0,0,0,469.39,0,0,13.95,0
