stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,63.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.02,14.13,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.96,0,0,0,11.97,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.06,6.02,0,1.25,0,0,0,3.62,0,0,0,0,0,0,0,0,0,4.06,0,0,4.55,62.42,0,0,0,0,0,9.72,4.68,0,0,2.72,22.03,0,0,0,0,0
 24-34,0,1.56,0,9.47,2.46,0,16.25,0,3.73,1.46,0.63,0,0,3.34,5.5,3.08,0,0,0,3.21,8.01,0.67,0,5.11,180.08,2.62,15.79,0,0,0,44.58,1.06,1.66,0,1.38,51.04,0,0,11.24,0,1.18
 36-46,0,0.78,0,5.07,1.3,0,43.66,0,1.62,0.6,12.88,2.26,1.53,0.84,0.89,0,0,3.34,0.93,38.52,20.75,0,0.86,1.62,426.74,2.11,23.89,0.85,0,0,82.09,0.91,0,1.39,0,96.9,0,0,8.26,0,1.16
 48-58,0,0.54,0,19,0.87,0,94.19,2.71,9,0.85,34.01,1.42,1.49,2.43,0,0.9,0,0.87,0,26.86,39.03,0.77,0,4.29,429.01,11.27,12.29,0.62,0,0.39,63.71,0.84,0,0,0,103.81,0,0,24.02,0,3.14
 60-70,0,0.57,0,21.87,1.4,0,289.65,5.73,27.38,1.9,98.68,0,4.83,1.41,3.24,0.71,3.15,0.7,0.81,15.47,112.46,1.01,2.87,18.2,915.91,4.76,20.79,13.9,0,0,105.49,0,0,0,0,169.6,0,0,13.03,0.98,29.99
 72-82,0,0.64,0,30.4,97.23,0,452.55,1.43,4.23,20.84,143.59,2.31,1.04,5.5,5.99,1.94,9.01,0.94,0,9.15,205.68,3.02,9.49,12.67,1052.93,1.93,44.72,20.1,0,7.55,60.43,0.56,0,0,0,148.29,1.71,4.12,22.43,12.9,35.22
 84-94,0,6.17,0,57.69,97.13,0,327.2,1.94,32.31,10.68,97.12,8.47,4.85,4.18,3.16,6.11,27.2,0.9,1.69,14.22,187.1,3.87,4.6,7.7,787.29,0,35,25.18,0,1.68,274.55,0,1.4,0.59,0,103.35,8.12,7.9,33.39,13.96,14.46
 96-106,0,4.96,0,68.59,276.86,0,553.99,11.21,23.32,8.46,204.67,10.77,0,2.42,9.66,3.66,19.56,28.56,6.22,8.73,238.05,9.33,15.65,17.04,830.34,8.37,67.67,27.81,0,7.71,322.57,1.57,2.99,1.91,0,87.99,20.89,14.15,46.95,22.54,48.24
108-118,0,4.47,3.68,92.4,160.23,2.32,705.18,4.27,53.61,17.6,280.41,9.97,0,14.57,8.19,18.85,47.37,10.87,3.76,19.17,345.26,14.16,18.95,13.71,1668.34,6.24,32.28,31.03,0,10.53,317.1,1.11,0.81,0,0,95.87,18.34,13.08,35.82,14.82,46.36
120,0,0,0,111.57,189.67,14.93,481.15,16.71,80.37,12.11,331.91,24.34,0,2.95,1.44,10.37,18.35,11.75,0,4.54,357.64,5.42,10.15,12.8,2424.2,15.13,91.73,41.85,0,20.34,360.47,5.36,0,0,0,72.65,15.74,8.97,65.18,19.81,6.35
