stage,epidermis,eye,glial,mesenchyme,mucous,mural.cell,muscle,neural,spinal.cord
  5-6,0,0,0,0,0,0,0,19.65,0
  7-9,0,0,0,0,0,0,0,3.25,0
 10-12,0,4.55,0,0,0,0,0,0,0
 14-21,0.82,0,0,0.9,0,0,0,1.3,2.29
 24-34,0,0,0,1.46,0.69,0,0,0.83,2.62
 36-46,0,0,0,0,0,0,1.17,5.28,8.21
 48-58,0,0,0,0,0,0,0,29.48,5.46
 60-70,0,3.18,0,0,0,0,0,18.28,14.2
 72-82,0.71,18.46,0,1.68,0,2.4,0,21.06,7.92
 84-94,0,0,1.13,0,0,0,0,30.57,3.56
 96-106,0.58,6.52,0,2.04,0,0,0,14.02,4.16
108-118,0,3.91,0,4.01,0,0,0,4.25,2.32
120,0,0,0,0,0,0,0,10.71,0
