stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.67,655.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0,0,0
  5-6,0,234.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,9.25,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.96,0,0,0,0,7.12,0,0,0,0,0,0,0,0,0,0,52.65,0,0,8.76,16.49,5.74,0,0,0,0,0,0,0,0
 10-12,0,3.56,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455.34,0,0,37.53,6.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,71.36,1.1,0,5.64,2.63,0,5.14,2.03,0,0,1.05,7.79,0,0,0,2.2,0.95,0,0,65.15,4.07,7.75,1.73,19.96,3.56,0.96,0.82,0.9,27.91,0,0,0,0
 24-34,0,0,0,1.29,30.42,1.53,0,5.58,5.97,0,2.64,3.76,0,0,6.2,9.61,0,2.58,0.95,0,3.94,0,0,104.72,20.15,12.38,0,73.63,0.86,0,1.17,0,22,0,2.98,0,1.7
 36-46,0,0,0,0.96,19.2,2.17,0,5.54,1.84,0,4.66,2.01,0.59,0,15.33,2.49,0,3.67,1.62,1.98,3.34,0,0,113.17,25.56,5.42,0,75.14,1.51,0,1.24,0,20.88,0,0,0,0.82
 48-58,0,0,0,0,24.23,0,0,21.32,5.69,3.55,9.87,1.86,0,0.47,25.97,0,0,4.52,0,7.47,2.89,0,0.46,80.65,10.02,5.85,0,41.49,0,0,0,0,5.54,0,2.44,0,3.66
 60-70,0,0,0.57,0,28.89,4.71,0,14.13,9.24,0,7.52,9.79,0,0,25.64,2.18,0,7.29,5.16,6.11,5.43,0,2.34,65.64,18.97,1.6,0,47.25,0.64,0,0,0,0.81,8.78,1.93,0,0
 72-82,0,0,5.16,0,34.33,1.27,0,10.03,6.38,0,11.61,12.63,0,0,22.22,3.71,2.68,3.12,0,18.85,5.98,0,0.78,54.14,12.67,6.93,0,28.78,0.56,0,1.08,0,8.81,10.17,2.06,3.22,8.23
 84-94,0,0,2.89,0,36.69,7.55,0,4.34,11.05,0,3.78,15.61,0,0,58.98,6.65,6.89,15.06,1.14,18.35,16.03,0,2.91,61.57,24.43,6.22,0,115.53,0,0,2.06,0,10.22,42.93,3.21,0,1.02
 96-106,0,0,3.09,1.03,54.01,5.05,1.05,9.34,3.25,1.12,15.8,28.49,0,0,52.58,6.44,0.57,10.34,0.63,16.24,7.18,2.44,0,34.33,17.92,4.11,0,94.37,2.22,0,0,0,1.72,25.99,3.24,0,5.81
108-118,0,0,7.37,1.47,70.76,1.91,5.97,8.26,17.98,0.71,9,29.84,0,0.71,61.94,11.73,0,14.44,3.04,24.39,9.67,1.08,3.05,74.55,8.01,11.32,0,65.25,0.79,0,0.98,0,0,8.38,5.85,0.44,2.08
120,0,0,3.52,0,47.1,4.43,1.91,15.8,7.41,0,0,28.55,0,0,75.79,10.14,0,11.52,14.88,6.24,3.49,0,0,74.61,7.34,36.64,0,54.35,0,0,1.13,0,0,15.37,5.68,0,0
