stage,blastomeres,eye,glial,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,somites,spinal.cord,vasculature
  3-4,13.06,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.61,0,0,0
 10-12,0,0,0,0,0,8.97,0,0,0,0,0,0
 14-21,0,0,0,0,0.82,5.58,0,0,0,0,1.81,0
 24-34,0,0,1.89,0,0,1.52,0,0,0,0.61,3.65,0
 36-46,0,0,0,0,0.8,1.2,0,0,0,0,0.59,1.43
 48-58,0,0,5.67,0,0.48,0.48,0,0,0,0,2.68,0
 60-70,0,2.61,1.95,2.31,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.67,0,1.18,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.34,0,0,0,0
 96-106,0,0,0,0,0,1.52,0,0,0,0,1.95,0
108-118,0,0,1.24,0,0,1.63,3.65,0,0,0,0,0
120,0,7.96,0,0,0,0,0,0,0,0,0,0
