stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,43.07,1790.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.57,0,0,0,0,0,0,0,0
  5-6,55.13,1903.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.02,24.97,0,17.96,0,11.86,0,0,0,0,0,0,0,0
  7-9,49.02,75.77,0,60.65,0,0,86.48,0,0,0,34.16,0,0,0,0,0,1441.14,45.44,0,410.07,0,0,12.85,0,0,0,0,0,0,0
 10-12,0,27.86,0,56.39,0,0,90.33,0,0,0,10.44,0,0,0,0,0,1083.13,37.35,0,390.39,0,0,4.37,0,50.55,0,0,0,0,0
 14-21,0,0,0,0,3.76,1.07,0,0,0,0,0,0,0,0,0,0,26.63,0,0.96,0,0,0,0,2.83,0,0.9,0.82,0,0,0
 24-34,0,0,0,0,1.2,0,4.14,0,0,0,0,0,0,1.3,0,2.98,42.38,0.83,0,0,0,1.11,0,0,0,1.38,8.16,0,1.74,0
 36-46,0,0,0,0,0,0,6.75,0,4.2,0.72,0,0,9.55,0,0,0,31.81,0,0,0,0,0,0,0,0,0,7.15,0,0,0
 48-58,0,0,0,0,0,0,23.15,0,5.63,0,0,0,0,2.86,0,0.46,56.44,0,0,0,0,0,0,0,2.86,0,1.43,0,0,0
 60-70,0,0,0,0,0.73,0,18.82,0,0,0,0,0,0,2.64,0,0,40.1,0,0,0,0,3.54,0,0,0,0,1.74,0,4.77,0
 72-82,0,0,0.5,0,0.72,0,8.53,0,1.32,0.66,0,0,2.95,2.5,0,0.71,18.8,0,0,0,0,1.68,0,0,0,0,4.11,0.5,2.21,0
 84-94,0,0,0,0,1.34,0,23.65,2.34,2.69,0,0,0,0,2.24,0.6,0.99,15.92,0,0,0,0,0,0,0,0,0,0,0,1.06,3.28
 96-106,0,0,0,0,0,0,0.71,0,0,0,0,0,0,1.15,0,0,8.58,0,0.61,0,1.96,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,5.74,0,7.9,0,2.01,1.06,0,0,0,8.58,0,0,14.13,0.69,0,0,0,0,0,0,0,0,0,0,0,1.93
120,0,0,0,0,0,0,14.99,0,6.69,2.4,0,2.3,0,5.97,0,0,15.51,0,0,0,0,0,0,0,0,0,0,0,0,0
