stage,axial,blastomeres,epidermis,eye,heart,immune,mesenchyme,neural,notochord,paraxial.mesoderm,somites,spinal.cord,vasculature,xanthophores
  5-6,0,25.06,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.48,0,0,0,0,0,0,8.91,0,23.13,0,0,0,0
 10-12,0,0,0,0,0,0,0,39.25,0,6.24,0,0,0,0
 14-21,0,0,0,0,0,0,1.99,4.17,12.76,0,0.87,0,0,0
 24-34,0,0,3.19,1.6,1.22,0,0.6,3.28,4.34,0,0,0,0,0
 36-46,0,0,0,0,1.59,0,2.72,0,3.18,0,0,2.37,6.51,0
 48-58,0,0,0,0,0,0,0,17.85,5.03,0,0,3.37,0,0
 60-70,0,0,1.84,4.08,0,0,0,10.78,5.74,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,7.79,2.89,0,0,0,0,0
 84-94,0,0,0,5.23,0,0,0,0,1.34,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,2.85,1.69,0,0,2.9,0,0
108-118,0,0,0,0,0,0.44,0,2.83,4.07,0,0,0,0,0.49
