stage,blastomeres,endoderm,epidermis,erythrocytes,eye,mesenchyme,muscle,neural,paraxial.mesoderm,pronephros,spinal.cord
  3-4,17.47,0,0,0,0,0,0,0,0,0,0
  5-6,58.69,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.04,0,0,49.72,13.49,0,0
 10-12,8.15,19.32,0,0,5.31,0,0,13.69,22.91,0,0
 14-21,0,0,0,0.86,0,0,0.97,1.74,0,0.84,0
 24-34,0,0,0,0,0,0,0,0.78,0,0,0
 36-46,0,0,0,0,0,0,0,10.46,0,0,1.25
 48-58,0,0,0,0,0,0,0,13.6,0,0,3.91
 60-70,0,0,1.19,0,3.45,0.68,0,1.07,0,0,1.51
 72-82,0,0,0,0,0.73,0,0,3.37,0,0,3.05
 84-94,0,0,0,0,3.95,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.84,0,0,0,0
120,0,0,1.12,0,0,0,0,3.67,0,0,0
