stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55,0,0,0,0,0,0,0,0,0.8,2.16,0,0,0,0
 24-34,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2.84,40.75,0,0,0.77,0,0,0,0.86,0,19.93,22.81,0,0.79,0,0
 36-46,0,0,0,0,0,22.24,0,0,0,6.94,0,1.67,0,0,0,0,0,2.2,0,0,0,57.87,0,0,0,0,0,3.86,0,0,65.44,14.36,0,0.62,0,0.74
 48-58,0,0,0,0,0,88.67,4.02,0,0,2.64,0,0,0,0,0,0,0,4.67,0,0,3.24,71.07,0.88,0.5,0.55,0,0.4,0.88,0,0,86.46,18.69,0,0,0,0
 60-70,0,0,0,0,0,479.59,23.29,0,0,27.65,0.63,0,0,1.16,2.79,0,0,12.21,0,0,0.87,102.36,0,1.29,4.42,13.78,0,9.83,0,0,61.48,25.9,0,3.69,0,0
 72-82,0,0,0.78,0,0,718.72,39.29,0,0,34.4,0,0,0.5,0,0,0,0,31.33,0,0,10.75,114.12,0,0.52,0,0,0,3.61,0,0,50.07,11.78,0.75,0,0,0
 84-94,0,0.66,2.44,0,0,470.09,89.39,1.71,1.82,18.82,0,0,0,0,0,0.68,6.93,10.45,0,0.57,6.16,76.3,0.68,2.6,0.55,0,0,1.31,0,0.9,67.31,17.08,0,0,0.77,0
 96-106,0,0,2.53,5.84,0.71,615.02,154.37,0,0,10.6,0.9,0,0,0,0.84,0,0,24.72,1.66,1.37,1.42,92.53,0,2.78,11.05,0,0,4.88,0,2.1,99.83,10.92,1.18,5.8,0,0
108-118,0,0,8.7,1.05,0.57,430.72,198.69,0,0,15.66,0,0,0,0,0,0,0,18.24,0,0,0.55,129.55,2.04,2.89,0,0,0,3.62,0,2.82,84.11,3.71,0,1.01,0,0
120,0,0,3.78,0,0,304.71,126.63,0,0,23.91,0,0,0,0,0,0,0,60.71,0,2.13,3.68,118.71,0,0,3.1,0,0,0,0,3.88,40.7,4.47,0,13.97,0,0
