stage,epidermis,eye,glial,immune,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,spinal_cord
  7-9,0,8.11,0,0,0,4.9,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.47,0
 14-21,0,0,0,0,0,1.71,0,0,0,2.82
 24-34,1.79,0,0,0,0,3.07,0,0,0,0
 36-46,0,0,0,0,0,1.44,0,0,0,0
 48-58,0,0,0,0,0,1.58,0.6,0.37,0,0
 60-70,0,0,0.8,0,0,4.01,0,0,0,0
 84-94,0,0,0,0.82,2.58,0,0,0,0,0
 96-106,0,0,0,1.14,1.71,0.95,0,0,0,3.32
108-118,0,0,0,1.61,0,0,0,0,0,0
