stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,33.15,1439.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.13,0,0,0,0,0,0,0,0,0,0,0
  5-6,95.32,1461,0,0,0,0,0,0,0,0,0,29.83,0,0,0,0,0,0,0,0,0,0,86.35,6.07,0,0,6.91,0,48.81,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.49,25.08,0,19.18,0,0,65.91,0,0,0,0,34.11,0,0,0,0,0,0,0,0,0,0,715.7,27.95,0,0,254.87,0,0,5.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,24.69,0,73.9,0,0,84.88,0,0,0,0,9.42,0,0,0,0,0,0,0,0,0,0,603.91,6.76,0,0,266.57,0,0,22.96,0,52.65,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,14.37,6.31,9.35,0,0,5.15,0.85,0,0,0,0.9,0,0,3.43,17.09,0,0,6.34,131.99,2.17,3.16,0.81,5.7,0,4.41,0,16.31,1.18,0,13.33,42.73,0,0,0.84,0,0
 24-34,0,0,0.65,0,7.92,0,28.77,0,0.64,5.34,2.67,0,2.43,0.61,0.79,0,0,0,22.84,0,0,10.78,266.67,5.96,0,3.4,0,0,16,0,0,0,4.16,4.44,55.36,0,0,4.34,0,0
 36-46,0,0,0,0,3.61,0,35.93,0,1.17,9.17,0.57,0,0.75,0,0.57,0,2.31,0,25.9,0,0.89,8.21,251.06,0.65,1.44,0.57,0,2.66,9.47,0,0,0,0,0,49.77,0,0,2.4,0,0
 48-58,0,0,0,0,14.04,0,49.1,0,1.64,15.46,0,0,0,0,0,0,0,0,20.93,1.4,0.69,7.33,177.39,0,0,5.87,0,0,8.26,0,0,0.52,0,0,33.7,0,0,3.31,0,7.38
 60-70,0,0,0,0,6.78,0,86.94,0,1.38,11.57,0,0,0.77,0,0,0,0,0,23.02,0,0,0,189.83,0,3.51,0,0,0,7.29,0,0,0,0,0,49.44,0,0,5.38,0,0
 72-82,0,0,0,0,8.07,3.46,59.67,0,1.14,11.04,0,0,1.61,0,0.6,0,1.52,0,39.36,0,0.88,2.97,140.29,0.72,1.19,0.75,0,0,2.01,0,0,0,0,0,23.06,4.19,1.21,2.77,1.31,4.81
 84-94,0,0,2.24,0,8.98,0,58.18,0.66,1.64,13.47,3.62,2.11,0.88,3.8,1.34,0,1.13,1.13,36.92,1.92,2.05,6.48,161.11,0,2.51,0.72,0,0,20,0,0,0.6,0,0,9.55,0,0,5.29,1.54,0
 96-106,0,0,0,0,7.61,0,82.45,0.59,1.96,22.48,1.19,0,1.68,0,1.6,0,2.03,1.03,45.22,0,0.93,0,122.1,0.91,0,3.19,0,0,19.25,0,0,0,0,0,14.2,3.51,1.5,0,1.32,1.92
108-118,0,0,0,0,8.9,2.86,47.25,0.95,1.6,23,0.78,0,0.49,1.46,0.52,1.1,3.99,0,43.51,0.53,2.41,6.65,124.92,1.75,0.45,1.82,0,0,7.86,0,0,0,0,0,0,0.42,0,5.94,1.99,2.7
120,0,0,0,0,11.23,1.56,17.53,0,0,42.09,1.69,0,0,0,0,3.91,2.64,0,19.14,13.83,0,2.53,202.2,3.12,0,0,0,0,3.73,0,0,0,0,0,4.34,0,0,7.41,0,0
