stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,19.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0
  5-6,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.95,0,0,0,19.55,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,152.25,8.95,0,0,60.96,0,0,4.94,0,3.26,0,0,0,0,0,0,0
 14-21,0,1.32,0.93,7.67,0.88,0,0,0,0,2.41,0,0,0,0.95,0,0,27.93,3.56,0,0,1.96,5.41,0,0,0.94,0.97,0,0,0,4.01,0,0,2.27,9.02,0,0,0,0
 24-34,0,0,0,10.62,0,2.22,0,0,0,1.64,0,1.47,0,0,0,0,27.99,15.32,0,0,2.08,63.4,0,0.75,4.2,0,0,2.94,0,0,0,2.55,2.19,16.43,0,0,0,0
 36-46,0,0,0.63,19.32,0,1.6,0,2.53,0,7.08,0,0,0,0,0,0.68,15.85,24.34,0,0,2.27,122.42,0,3.41,2.31,0,0,1.69,0,0,0,0,0,19.19,0,0,0,0
 48-58,0,0,0,5.15,0,16.02,0,0,0.42,7.02,0,0.58,0,0,0,0,9.71,22.08,0,0,5.03,113.17,0,4.8,0.41,0,0,3.3,0,0,0,0,0,13.78,0,0,0.38,0
 60-70,0,0,0,6.07,0,49.37,0,0,0.84,6.44,0,0,0,2.43,3.16,0,8.57,38.8,0,0,3.04,159.77,5.95,0,0,0,1.1,1.54,0,0,0,6.03,0,22,0,1.03,0,0
 72-82,0,0,0,2.18,0,29.25,0,0,0,4.41,0.54,0.89,0.98,0,0,0,9.54,54.15,0,2.89,3.02,211.97,0,0,4.15,0,1.06,8.11,0,0,0,0,0,35.1,0,0.52,12.19,1.07
 84-94,0,0,0,4.26,1.48,24.33,0,0,1.74,1.96,0,0,0,0,0,0,36.02,58.87,0,0.94,0,98.59,0,7.78,0.97,0,0,3.85,0,0,0,0,0,5.59,1.17,6.91,4.18,0
 96-106,0,4.45,0,6.43,0,23.31,0,0.56,3.7,7.97,0.78,0,1.36,0,0,0,27.79,31.82,0,0.73,0,146.25,0,5.42,1.46,0,2.01,3.85,0,0,0,0,0,12.75,1.13,0,7.95,1.57
108-118,0,2.87,0,4.02,0,39.95,0.45,1.05,0,2.49,3.29,2.18,0,0,0,1.38,73.76,26.38,1.15,0,3.69,128.76,0,4.76,1.19,0,1.95,10.59,0,0,0,5.58,0,4.35,0,0,1.33,0
120,0,0,0,2.18,0,61.04,5.69,0,1.69,15.56,0,0,0,0,0,0,68.96,16.7,0,0,0,187.19,0,0,24.94,0,7.06,0,0,0,0,1.21,0,3.82,0,8.97,17.92,0
