stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,48.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,66.76,0,151.57,0,0,0,0,0,0,0,0,0,12.35,0,0,0,0,0,0,0,0,0,0,959.31,4.29,0,0,3591.42,0,0,4.75,302.17,0,11.63,22.95,0,0,0,0,0
 14-21,2.31,15.04,0,3.79,1373.64,169.59,0,0.81,0,5.19,0,207.7,122.86,0,0,1.56,0,0,0,2.26,183.71,1.22,0,128.77,418.25,157.47,1.4,2.54,1214.79,0,14.87,2247.67,3.85,27.72,618.14,3996.45,0,0,6.79,0,1.92
 24-34,0,0,0,0,76.95,8.29,0,16.44,2.28,29.82,7.35,225.99,27.16,0,0,2.47,0,0,0.79,10.96,165.42,2.33,0,200.16,211.64,24.78,0.91,1.54,0,0,120.14,1.22,0.61,11.21,165.1,1904.32,0,0,65.46,0,1.58
 36-46,0,0,0,0,27.45,0,0,3.71,10.82,31.29,50.19,98.88,6.5,0,0,0,0,1.29,0,6.47,275.26,3.23,6.76,178.05,309.6,11.67,1.91,0,0,0,131.79,0,0,8.02,3.97,2327.75,0,0,20.74,0,3.99
 48-58,0,0,0,0,28.67,0,0,53.3,12.35,41.39,52.21,119.05,8.33,0,0,0,0,0,5.32,11.95,374.26,1.91,9.33,142.39,303.96,11.21,0.64,0,0,0,65.72,0,0,15.04,0,2715.23,0,0,14.2,1.22,8.63
 60-70,0,0,0,0,20.93,3.08,0,54.8,5.14,29.89,51.86,126.45,5.67,0,0,0,0,0,0,1.83,280.47,0,16.77,75.84,191.52,0,0,0,0,4.81,52.61,0,0,6.4,0,1984.48,0,1.31,12.27,0.79,0
 72-82,0,0,3.66,0,15.42,5.49,0,71.29,0.69,32.77,112.71,193.3,16.99,0,0,0,0.81,0,2.73,7.22,555.65,0.59,41.55,115.24,310.37,7.65,0,0,0,3.36,45.09,0,4.56,1.5,0,1902.16,0,11.21,6.27,28.76,34.24
 84-94,0,0,10.58,0,18.13,0.98,0,105.56,0.72,36.76,86.02,176.93,36.19,0,0,1.14,5,0.9,1.81,6.11,461.71,1.42,48.56,114.43,277.17,6.05,0,0,0,0,134.5,0,2.25,11.59,0,1535.83,0,3.46,13.75,17.69,0.7
 96-106,0,0,0.63,0,22.89,0,0.63,100.24,4.94,34.29,87.5,180.96,25.57,0,1.63,0,0,0,0,5.32,433.65,6.45,65.76,115.72,265.87,5.73,0,0,0,5.2,82.57,0,0,1.56,0,646.68,0,4.84,20.61,45.63,16.05
108-118,0,0,5.89,0.49,34.79,4.33,0,22.04,4.68,40.92,83.03,197.26,14.97,0,0.47,4.28,8.62,0,0,2.63,398.73,1.6,60.44,146.21,365.03,14.71,0,0,0,10.31,81.77,0,0,1.12,0,595.34,0.54,3.52,16.7,25.1,12.22
120,1.12,0,0,0,32.61,0,0,18.18,4.29,34.93,59.12,182.9,45.33,0,0,0,0,0,0,1.54,466.91,0,53.77,124.24,160.26,14.81,0,0,0,0,103.08,0,0,1.69,0,179.31,0,0,0,41.44,0
