stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.01,124.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0
  5-6,0,39.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.72,0,0,0,3.77,0,5.41,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,22.28,1.05,0,1.21,0,0,0,2.61,0.85,0,0,0,1.08,0,0,6.94,0,11.26,0,0,5.72,15.4,26.41,0,0,0,0,59.77,0,0,0,0.96,7.1,0,0,0.98,0,0
 24-34,0,0,0,6.84,0,0,4.81,0,1.24,0,3.19,0,0,0,0,0,0,0,0,0,41.49,0,0,3.59,65.89,2.34,0,0,0,0,148.5,0,1.1,0,0,14.7,0,0,15.95,0,0
 36-46,0,0,0,17.69,0,0,10.22,0,2.99,4.4,0,0,0,3.42,0,0,0,1.88,0.57,2.91,52.77,0,0.67,9.88,105.84,6.66,1.22,0,0,0,183.45,0.73,0,0,0,12.21,0,0,12.02,0,0
 48-58,0,1.29,0,29.71,0.41,0,22.96,0,0,0.6,7.67,0,0,1.48,0.37,3.62,0,1.9,0,0.67,51.22,2.87,2.41,6.92,163.67,1.89,0.5,0.4,0,0,116.81,0,0,0,0,12.38,0,0.49,8.07,0,1.99
 60-70,0,0,0,18.97,0,0,48.28,0,6.04,1.64,18.06,0,0,0,0,1.74,0,0,0,2.57,92.15,0,8.57,2.09,302.1,21.01,0,0,0,0,71.65,0,0,0.93,0,11.19,0,0,9.05,0.85,0.72
 72-82,0,0,0,19.6,0,0,87.49,0,1.18,15.82,20.32,0.7,0,0.73,0,0,2.68,3.09,0,0.64,127.78,0.95,7.84,8.53,363.25,5.28,0,0,0,4.14,35.89,0,0,1.24,0,21.06,0.53,3.38,44.06,6.11,0
 84-94,0,0,0,22.87,5.21,0,100.96,3.33,7.32,2,14.28,0,0,0,1.73,2.5,0.7,0,0,6.47,76.4,12.35,9.11,3.64,262.66,0,0,2.64,0,3.66,116.72,0,0,0,0,23.13,0,2.99,23.25,3.23,0
 96-106,0,0,0,30.13,0,0,47.57,1.98,1.53,1.08,11.86,0,0,0.72,5.26,2.64,0,1.72,5.88,2.4,100.79,6.19,2.38,5.13,292.06,0.57,0,4.06,0,6.33,76.6,0,0,0,0,8.32,10.14,6.99,35.05,6.87,7.53
108-118,0,0,0.54,53.52,0,1.78,85.75,0,5.66,0.65,25.12,1.32,0,0,0,0.49,1.41,7.55,0.6,5.6,106.23,5.64,1.79,4.33,415.07,0.51,0,1.61,0,1.32,65.98,0,0,0,0,16.91,14.47,6.12,35.15,5.36,2.86
120,0,0,0,42.12,0,0,34.55,0,9.63,0,17.19,1.61,0,2.09,0,0,0,0,7.68,0,52.38,0,15.4,13.12,858.93,2.55,0,0,19.84,0,29.86,0,0,0,0,13.23,8.8,21.81,71.52,35.34,0
