stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,44.43,1011.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.17,0,0,0,0,0,0,0,0,0,0
  5-6,49.83,1359.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46,11.17,0,0,0,0,180.83,0,0,0,0,0,0,0,0,0,0
  7-9,0,18.29,31.49,0,0,0,75.53,0,0,0,0,0,7.16,0,0,0,0,0,0,0,0,0,0,0,1623.63,8.24,0,0,207.66,0,42.99,7.8,0,0,0,0,0,0,0,0,0
 10-12,0,44.34,62.93,0,4.95,0,108.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1676.97,10.4,0,0,169.46,0,8.63,0,0,12.13,11.45,11.27,0,0,0,0,0
 14-21,0,0,2.19,22.88,0,0,0,0,0,0,0.89,1.29,0,0,0,0,0,0,0,0,5.93,0,0,2.21,40.15,0,0,0.88,0,0,3.74,0,1.04,0,2.73,19.18,0,0,0,0,0
 24-34,0,0,0,1.25,0.89,0,7.01,0,0,0,0.59,0,0,0,0,0,0,0,0,0,2.84,0,0,2.39,89.13,0,0,0,0,0,3.49,0,0,0,0,14.44,0,0,0,0,0
 36-46,0,0,0,3.25,0,0,7.93,0,0,4.33,4.24,0,0,0,0,0,0,0,0,0,7.65,0,0,1.66,72.13,0,0,0,0,0,0.69,0,0,0,0,21.84,0,0,0,0,0
 48-58,0,0,0,0,0,0,15.61,0,0,0,2.71,0,0,0,0,0,0,0,0,0,8.78,0,1.2,0.44,27.62,0,0,0,0,0,0.49,0,0,0,0,12.47,0,0,0,0,0
 60-70,0,0,0,4.51,0,0,21.3,0.66,0,0,12.62,8.89,0,0,0,0,0,0,0,0,6.56,0,0,0,16.27,0.93,0,4,0,0,4.51,0,0,0,0,1.29,0,0,0,0,1.56
 72-82,0,0,0,1.15,0,0,14.27,0,0,0,24.43,0,0,0,0,0,0,0,0,0,16.73,0.71,0.98,4.77,6.19,0,0,1.01,0,0,0.58,0,0,0,0,0,0,0,0,0.93,0
 84-94,0,0,0,1.7,12.59,0,9.99,0,0,0,11.83,1.96,0,0,0,0,0,0,0.59,0,12.21,0,0,0,6.24,0,1,1.06,0,0,0,0,0,0.56,0,2.15,0,0,0,0,0
 96-106,0,0,0,5.33,1.06,0,15.53,0,1.4,0,47.92,5.85,0,3.23,0.59,0,0,0,0,0,38.72,0,0,3.43,35.54,0.85,0.57,0,0,6.17,7.05,0,0,0,0,1.34,0,2.09,0.74,8.57,0
108-118,0,0,0,45.56,1.17,0.97,9.38,0,6.76,0,105.75,14.25,0,7.11,1.57,1.72,9.41,0.89,4.36,2.47,68.21,0,5.47,3.84,29.37,0,1.39,1.29,0,3.27,11.47,0,0,1.01,0,4.36,1.61,2.15,3.6,6,0.42
120,0,0,0,110.03,0,0,26.16,0,4.58,1.47,170.11,39.57,0,13.62,2.88,0,1.92,1.34,15,1.61,309.31,6.2,90.27,0,30.82,11.19,0,5.49,0,81.01,40.42,0,0,9.01,0,10.76,0,0,13.12,22.48,0
