stage,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,iridophores,melanocytes,mesenchyme,mural.cell,neural,periderm,spinal.cord,vasculature,xanthophores
 14-21,0,3.56,0,0,0,31.56,0,0,0,0,3.14,0,0,0,0
 24-34,0,1.27,0,0,0,85.69,0,0,0,0,7.33,0,1.02,0.65,0
 36-46,0,0,0,5.04,0,93.3,0,0,0,0,2.75,0,1.02,0,0
 48-58,0,0,0,0,0,115.7,0,0,1.47,0,3.24,0,0.83,0.65,1.18
 60-70,0,0,0,0,0,120.78,0,0,0,0,6.18,1.86,0,0,0
 72-82,0.69,4.08,0.61,0,2.6,112.81,0,0,0,0,6.07,0,2.49,0,0
 84-94,0,0,0.64,0,0,183.01,0,1.05,0,0,0,0.72,0,0,0
 96-106,0.65,0,0,0,0,161.11,0,0,0,0,6.15,0,0,2.91,0
108-118,0,0,0,0,0,156.5,0.61,0,1.29,0.79,1.19,0,0,0.45,0
120,2.24,0,0,0,0,364.56,1.62,0,0,0,18.59,0,0,4.84,0
