stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,lateral_line,mesenchyme,muscle,neural,otic,periderm,somites,spinal_cord,vasculature
  3-4,63.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,1.09,2.02,0
 24-34,0,0,0,1.05,0,0.87,0,0,0,0.66,0,6.2,0,0,0,0.82,0
 36-46,0,2.43,0,5.08,0,0,0.56,0,0,0,0,8.52,0,0,0,2.87,0
 48-58,0,0,0,5.96,0,0,0,0,0,0.97,0.94,6.22,0.84,3.17,0,1.82,0
 60-70,0,0,0,0.75,0,0,0,0,1.24,0.8,0,11.17,9,0,0,2.72,0
 72-82,0,0,0,7.51,0,1.02,0,0,2.4,0,0.73,13.85,9.86,0,0,0,0
 84-94,0,0,0,0,0,7.24,0,0,3.65,1.38,0,0,18.58,2.43,0,0,0
 96-106,0,0,0,0,2.07,0,0,0.66,12.47,0,0,3.31,30.71,0,0,0,9.32
108-118,0,3.9,0,8.46,0,0,0,0,3.68,1.3,0,0,17.07,0,0,0,0
120,0,3.92,11.24,21.93,0,0,0,0,3.3,0,0,0,33.43,0,0,0,0
