stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,38.88,902.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.19,0,0,0,0,0,0
  5-6,0,97.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.43,0,7.96,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.52,0,0,0,37.79,0,0,0,0,0,0,0
 10-12,0,0,0,7.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.49,0,0,0,12.55,0,0,0,0,0,0,0
 14-21,0,0,0,0.96,0.9,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,1.75,0,47.71,83.12,0,20.6,0.81,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,7.48,0,9.48,0,1.28,0,0,0,81.1,0,471.69,117.35,0,22.44,0,2.19,0,0,0,0
 36-46,0,0,0,0,0.79,0,0,0.73,0,0,0,0,0,3.1,0,0,0,18.6,0,0.74,0.68,0,1.22,155.79,0,609.07,64.74,0,47.57,0,6.07,0,0,0,0
 48-58,0,0,0,0,0,0,0,10.99,0,0,0,5.07,0,11.2,0,4.99,0,19.78,0,0,0,0,0,75.03,0.93,338.23,67,0,22.94,0,3.51,0,0.47,0,0
 60-70,0,0,0,0,1.17,0,0,4.58,0,1.7,0,0,0,6.47,0,20.21,0,30.21,0,1.36,0,0,0,57.82,0,379.16,72.3,0,20.92,0,0,0,0,0,7.7
 72-82,0,0,0,0,2.81,0.52,0,10.25,0,0.7,0,9.49,0,3.48,0,6.27,0.78,66.84,0,5.98,0.61,0,0.64,59.1,0,651.64,142.44,0,14.29,0,3.23,5.27,0,1.87,0
 84-94,0,0,0,0,3.19,0,0,3.1,0,1.3,0,0,2.74,6.11,0,9.62,0,69.09,0,2.73,0,1.29,0,40.64,0,522.23,162.42,0,46.76,0,0,15.37,0,0,0
 96-106,0,0,1.17,0,6.15,7.34,0.97,17.74,0,1.87,4.94,8.73,4.66,0,2.86,4,0.6,91.51,2.22,10.35,3.75,0,0,68.27,0,725.37,160.7,0,28.72,0,0,22.92,2.73,0,0
108-118,0,0,0,0,5.19,0,0,17.51,0.42,0,0.59,1.58,1.68,0,0,8.49,0,123.35,1.03,3.16,3.14,0,1.37,59.9,1.35,541.26,167.95,0,32.14,0,3.77,40.23,3.67,0,0
120,0,0,0,0,26.04,0,0,16.75,0,0,0,0,1.25,0,0,6.41,0,82.04,0,2.5,0,0,0,50.53,3.31,340.29,109.8,0,34.17,0,0,24.21,0,0,0
