stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,85.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,125.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.9,0,11.83,0,0,0,28.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.14,5.47,0,0,83.96,0,3.28,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.2,0,0,0,0,0,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,55.71,0,0,0,0,10.58,0,0,0,0,0,0,0,0
 14-21,0,1.32,1.33,10.2,4.59,0,1214.88,0,0,0,0,0,0,0,0,0,1.12,0.92,0,311.5,10.04,0,0,0,90.31,258.24,0,0,0.99,0,36.95,0,4.63,0,1.36,3.6,23.49,0,0,0,0,92.61
 24-34,0,0.8,1.59,32.29,0,0,6266.77,1.2,0,0,9.3,0,0,2.01,1.47,8.98,65.27,0.73,4.88,5354.07,77.97,0.91,0,41.61,638.78,73.36,4.34,2.77,0,0,61.35,0,0,0.8,0,2.96,74.99,0,0,17.39,0,261.36
 36-46,0,0,0,5.23,2.83,0,5003.55,2.26,4.32,3.69,13.52,0,0,0.75,0,1.59,55.85,0,0.62,15882.29,29.58,1.01,0,12.96,505.13,49.58,3.44,0,0,0,41.18,0,0,5.21,0,2.75,64.04,0,0,20.99,0,135.41
 48-58,0,0,0,16.18,6.68,0,5366.21,0,0.56,6.53,37.11,0,0,1.56,0.49,0,61.75,0,17.55,15308.61,68.48,0,1.38,12.04,558.77,58.92,5.64,1.64,0,0.79,26.76,0,0,0,4.88,0,103.46,0,0,6.28,0,104
 60-70,0,0,0,44.34,0,0,6452.72,6.45,12.32,0,62.48,1.35,0,0.71,33.6,0.58,89.53,0,6.8,11537.84,66.06,0,25.67,4.12,437.96,7.13,0,6.45,0,1.08,13.66,0,0,7.18,0.88,0,52.56,0,0.99,13.99,1.52,54.14
 72-82,0,0,0,23.86,33.23,0,6061.59,0,6.4,36.45,69.77,0.65,0,0.58,1.08,1.63,67.69,0.68,36.93,9763.62,200.87,0,2.24,2.05,372.44,3.64,4.21,1.14,0,1.08,16.55,0,0,0,0,0,34.32,6.49,4.77,14.22,8.78,59.5
 84-94,0,1.42,0,37.52,38.61,0,12672.68,0.81,7.08,11.73,105.63,3.41,4.92,3.12,30.04,5.29,108.17,1.03,36.82,16133.89,173.85,12.82,2.59,7.16,308.57,1.78,4.02,4.72,0,0.91,77.85,2.8,0,1.11,8.24,0,17.73,0,0.69,18.31,2.07,54.42
 96-106,0,0,0,25.45,74.71,28.2,10290.45,3.09,0.58,6.28,152.09,14.71,0,5.47,34.1,5.14,169.17,0.88,45.2,8933.61,189.02,9.34,7.93,17.47,653.97,7.49,17.54,14.57,0,2.01,73.23,0,0,0,18.16,0,26.38,8.39,8.54,27.56,4.55,36.58
108-118,0,3.11,0,32.01,30.43,124.42,11584.18,0,4.77,5.01,152.1,12.67,0,1.28,13.34,8.38,177.17,6.04,50.98,13147.77,202.56,2.75,0,13.8,490.74,3.47,4.01,8.02,0,0,63.52,0,0,1.01,0,0,27.27,5.15,3.84,17.03,2.48,147.96
120,0,3.64,0,14.95,41.02,1.89,4859.68,8.34,4.17,14.53,319.56,60.42,0,2.63,6.55,0,2.11,6.94,5.51,5347.38,81.3,16.75,19.96,10.55,461.03,6.07,0,22,0,0,21.83,0,0,2.78,0,0,52.45,0,0,4.18,7.1,15.67
