stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.05,1126.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,261.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.05,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.94,5.98,0,18.01,0,0,0,32.31,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,409.71,14.27,0,0,178.42,0,0,18.95,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.18,0,78.05,0,0,0,36.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922.17,48.64,0,0,211.59,0,0,0,0,28.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.19,27.19,3.88,0,16.18,0,0,11.06,0.82,0,1.92,0,0,0,0,0,14.1,0,0,9.14,173.53,0.84,2.01,0,1.93,0,2.51,1.23,4.76,0,1.08,2.06,42.77,0,0,2.59,0,0
 24-34,0,0,0,0.76,13.23,0.9,0,67.04,1.86,0,10.02,0.82,0,1.85,0.87,1.51,1.41,1.71,22.87,62.82,0,0,16.29,665.59,1.85,9.85,1.41,0,0,4.97,0,0,1.82,0,3.93,108.04,0,0,21.19,0,0
 36-46,0,0,0.73,0,8.24,0,0,173.63,0,3.84,13.1,0,0,0,1.96,0.66,0,2.17,1.47,46.14,0,0.85,12.4,414.43,0,9.93,0.61,0,0,5.16,0.78,0,0,0,0,94.2,0,0,8.89,0,2.33
 48-58,0,0,0,0,2.09,0.41,0,220.22,0,2.65,24.91,0,0,0,1.42,0,0.45,1.04,0.71,43.46,3.8,0.5,4.65,293.21,0,4.93,0.71,0,0,5.62,0.65,0,0,0,0,37.14,0,0,2.27,0,1
 60-70,0,0,0,0,19.96,1.01,0,236.94,2.9,2.52,30.18,0,0,0.66,0,2.84,0,4.4,0,47.85,1.43,3.98,8.29,189.81,0,5.18,1.46,0,0.98,10.65,0,0,0,0,0,28.01,0,0,1.82,0,7.99
 72-82,0,0,0,0,10.92,13.86,0,138.79,0,0.74,26.21,0,0,0.86,2.23,2.83,2.95,2.3,0,72.99,0,0.72,4.58,177.41,0,7.88,1.03,0,2.23,9.28,0,0,0,0,0,8.47,0.92,0.5,11.39,3.22,0
 84-94,0,0,0,1.01,28.12,12.05,0,125.03,1.87,0,14.04,4.37,0,5.73,0.59,4.94,0,0,2.16,56.31,0,10.38,3.65,139.1,0,8.98,1.22,0,0,12.36,0,0,1.65,0,0,2.75,0,0.77,13.28,0.62,0.62
 96-106,0,0,0,0,14.69,12.32,0,76.65,1.57,1.87,29.41,1.82,0,0,0.88,0.76,0,2.69,0,37.79,3.52,2.26,4.87,119.28,0.66,10.17,10.33,0,0,20.79,0,0,0.73,0,0,11.15,0,1.82,10.57,2.39,1.91
108-118,0,0,0,0.74,22.12,5.94,0.47,70.36,2.6,4.25,24.76,1.51,0,0,1.09,0.76,1.26,1.48,0,48.59,0,0,5.69,110.36,0,6.2,4.67,0,0,24.95,0,0,0,0,0,1.94,0.58,0,12.53,0.54,7.71
120,0,0,0,0,19.05,0,0,53.11,5.01,0,86.19,10.15,0,0,8.5,0,0,0,0,81.85,0,0,0,132.52,0,13.4,7.36,0,0,9.77,0,0,0,0,0,12.32,0,2.41,12.33,0,0
