stage,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,11.05,0,0,0,0,0,0
 10-12,4.27,0,0,0,0,0,3.53,8.78,6.31,0,0,0,0
 14-21,0,0,0,0,0.94,0.84,0,0,0,4.15,3.35,2.31,0
 24-34,0,1.38,0,0,0.71,0.77,5.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.96,0,0,0,0,0,0
 48-58,0,0,0.6,0.38,0,0,2.26,0,0,0,0,0,0
 60-70,0,4.7,0,0,0,0,3.85,0,0,0,0,0,0
 72-82,0,0.5,0,1.93,0,0,0.94,0,0,0,0,0,1.81
 84-94,0,0,0,4.34,2.47,0,1.88,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,9.81,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.38,0,0,0,0,0,0
